	logFC	logCPM	PValue	FDR
genes: STsORF14	-0.47	4.67	0.58	0.71
genes: STsORF43	1.03	6.82	0.01	0.04
genes: STsORF158	1.39	2.72	0.21	0.35
genes: STsORF101	-0.92	7.42	0.01	0.02
genes: STsORF202	-1.19	3.37	0.47	0.61
genes: STsORF187	-0.79	3.62	0.64	0.76
genes: STsORF100	-0.87	6.28	0.03	0.09
genes: STsORF107	3.17	4.81	0.0	0.0
genes: STsORF168	-1.4	6.34	0.03	0.09
genes: STsORF93	0.15	3.92	0.87	0.92
genes: STsORF123	0.39	2.85	0.75	0.84
genes: STsORF153	3.51	6.26	0.0	0.0
genes: STsORF31	-1.35	4.53	0.09	0.19
genes: STsORF155	0.53	4.7	0.53	0.66
genes: STsORF46	3.53	3.49	0.15	0.27
genes: STsORF127	0.07	4.52	0.94	0.97
genes: STsORF186	0.47	4.5	0.74	0.83
genes: STsORF74	7.07	10.53	0.0	0.0
genes: STsORF240	0.13	4.39	0.88	0.93
genes: STsORF112	-0.72	3.38	0.58	0.71
genes: STsORF60	5.36	2.76	0.01	0.03
genes: STsORF215	0.55	3.77	0.61	0.74
genes: STsORF75	1.4	5.5	0.02	0.06
genes: STsORF76	-0.53	4.32	0.6	0.73
genes: STsORF193	-2.41	7.94	0.0	0.0
genes: STsORF219	-0.89	6.24	0.05	0.13
genes: STsORF245	-1.07	3.93	0.5	0.64
genes: STsORF142	4.92	5.03	0.0	0.0
genes: STsORF5	-0.33	6.53	0.42	0.57
genes: STsORF188	-1.41	6.48	0.0	0.02
genes: STsORF227	-0.17	6.45	0.64	0.76
genes: STsORF81	-1.38	5.73	0.08	0.17
genes: STsORF172	-0.41	3.57	0.71	0.81
genes: STsORF50	-0.24	6.06	0.56	0.69
genes: STsORF116	-3.65	4.3	0.0	0.0
genes: STsORF163	-1.75	5.79	0.0	0.0
genes: STsORF132	5.11	7.54	0.0	0.0
genes: STsORF108	3.94	5.19	0.0	0.0
genes: STsORF125	-0.7	7.73	0.03	0.08
genes: STsORF30	-0.81	6.28	0.08	0.17
genes: STsORF66	1.82	6.54	0.0	0.0
genes: STsORF59	1.36	6.94	0.0	0.0
