locus tag	logFC	logCPM	PValue	FDR
STsORF56	4,59	3,60	0,01	0,03
STsORF183	1,47	3,69	0,12	0,20
STsORF53	-0,71	4,40	0,19	0,28
STsORF117	0,96	4,78	0,06	0,12
STsORF120	2,96	6,26	0,00	0,00
STsORF122	1,93	2,36	0,35	0,47
STsORF18	-0,03	4,65	0,96	0,97
STsORF41	-1,30	4,09	0,04	0,08
STsORF68	5,86	9,51	0,00	0,00
STsORF94	2,35	4,19	0,03	0,06
STsORF233	-2,77	10,31	0,00	0,00
SL1344_P1_0100	-0,99	7,47	0,00	0,00
STsORF23	3,81	4,40	0,00	0,00
STsORF48	0,34	6,58	0,25	0,35
STsORF124	-3,69	5,34	0,00	0,00
STsORF150	-1,09	4,47	0,03	0,07
STsORF203	1,72	5,41	0,00	0,00
STsORF224	0,17	4,17	0,79	0,85
STsORF228	-1,40	4,76	0,01	0,02
STsORF16	1,79	3,56	0,05	0,10
STsORF22	2,66	3,00	0,06	0,11
STsORF90	3,43	3,05	0,01	0,02
STsORF119	0,19	4,49	0,77	0,83
STsORF220	4,57	6,01	0,00	0,00
SL1344_0463	4,71	8,72	0,00	0,00
STsORF91	3,96	4,87	0,00	0,00
STsORF134	-1,39	6,87	0,06	0,11
STsORF174	-5,53	6,73	0,00	0,00
SL1344_0001	-1,10	10,11	0,00	0,00
SL1344_0114	-0,05	9,86	0,87	0,91
STsORF138	-0,09	6,97	0,84	0,89
STsORF212	5,63	6,55	0,00	0,00
STsORF250	1,65	3,10	0,28	0,39
SL1344_1722	0,49	3,20	0,59	0,69
SL1344_P2_0001	0,38	7,04	0,22	0,32
STsORF169	-0,92	4,55	0,08	0,15
STsORF185	0,98	4,95	0,06	0,11
STsORF235	0,68	6,21	0,04	0,08
STsORF49	-1,48	7,80	0,00	0,00
STsORF67	6,31	8,54	0,00	0,00
STsORF85	-0,39	4,10	0,60	0,70
STsORF106	0,72	8,10	0,00	0,01
STsORF109	4,20	3,57	0,02	0,05
STsORF17	-0,58	5,05	0,25	0,35
STsORF69	-1,22	5,43	0,01	0,04
STsORF86	-0,58	6,90	0,08	0,14
STsORF88	0,19	5,91	0,56	0,67
STsORF145	2,37	5,68	0,00	0,00
SL1344_3763	1,71	9,45	0,00	0,00
STsORF25	-0,21	3,83	0,76	0,83
STsORF105	-0,10	4,83	0,85	0,89
STsORF164	-1,89	4,51	0,00	0,00
STsORF236	8,34	5,67	0,00	0,00
SL1344_0354	-1,04	4,97	0,03	0,06
SL1344_4392	-0,46	3,38	0,58	0,68
STsORF39	-2,70	5,38	0,00	0,00
STsORF55	-1,16	3,54	0,20	0,29
STsORF63	-1,02	9,90	0,00	0,00
STsORF237	0,81	5,57	0,04	0,09
STsORF11	1,58	3,64	0,06	0,12
STsORF42	0,41	4,25	0,51	0,62
STsORF72	5,95	6,82	0,00	0,00
STsORF135	-0,24	3,84	0,76	0,83
STsORF197	-0,12	4,70	0,79	0,85
STsORF242	-1,14	4,96	0,03	0,07
SL1344_0724	-0,80	6,13	0,06	0,11
SL1344_3386	0,41	9,36	0,17	0,26
STsORF130	-0,87	3,04	0,34	0,46
STsORF198	-0,40	4,45	0,42	0,54
SL1344_4408	-0,81	6,26	0,02	0,04
STsORF82	0,56	4,18	0,48	0,59
STsORF143	1,26	4,43	0,08	0,15
STsORF70	1,25	7,74	0,00	0,00
STsORF156	1,93	10,00	0,00	0,01
STsORF44	1,23	9,16	0,00	0,00
STsORF89	5,12	7,92	0,00	0,00
STsORF179	-3,85	10,97	0,00	0,00
SL1344_0696	5,12	2,97	0,00	0,01
SL1344_3063	-0,63	5,08	0,16	0,25
SL1344_3209	1,23	3,83	0,14	0,23
SL1344_P2_0054	-1,44	10,90	0,00	0,00
STsORF57	5,01	5,57	0,00	0,00
SL1344_0709	0,22	5,43	0,59	0,69
SL1344_1738	0,09	5,27	0,84	0,89
STsORF19	0,52	4,13	0,43	0,54
STsORF190	3,47	6,98	0,00	0,00
SL1344_4526	1,20	3,96	0,08	0,14
STsORF40	-0,70	6,71	0,02	0,04
STsORF45	1,63	3,93	0,06	0,11
SL1344_1495	-0,30	6,67	0,32	0,43
SL1344_1767	-0,61	10,35	0,01	0,03
SL1344_1769	1,50	8,30	0,00	0,00
STsORF115	-3,02	7,45	0,00	0,00
SL1344_4212	-1,24	3,53	0,16	0,26
SL1344_4273	-2,91	9,68	0,00	0,00
SL1344_0757	-2,36	7,81	0,00	0,01
SL1344_1203	0,22	4,04	0,77	0,83
SL1344_3134	-1,31	7,59	0,00	0,00
STsORF7	-4,04	9,53	0,00	0,00
STsORF162	-0,29	4,44	0,58	0,68
STsORF58	0,35	4,05	0,67	0,75
STsORF121	1,17	3,49	0,21	0,31
STsORF209	0,11	3,48	0,91	0,93
SL1344_1579	0,58	3,79	0,39	0,51
STsORF83	-0,46	5,11	0,31	0,42
STsORF113	-0,03	3,27	0,97	0,98
SL1344_1794	6,21	7,99	0,00	0,00
SL1344_2780	-0,82	5,59	0,04	0,08
STsORF51	-0,31	6,39	0,35	0,46
STsORF223	-1,23	3,87	0,08	0,14
SL1344_1927	1,91	5,14	0,00	0,00
STsORF248	-1,18	7,08	0,00	0,00
SL1344_1783	4,54	9,51	0,00	0,00
SL1344_3360	0,19	5,29	0,69	0,77
SL1344_4452	6,64	7,73	0,00	0,00
STsORF191	1,23	3,87	0,14	0,23
SL1344_0473	1,27	3,63	0,13	0,21
SL1344_1006	0,55	7,66	0,03	0,06
SL1344_1059	4,16	5,95	0,00	0,00
SL1344_1802	0,00	4,65	1,00	1,00
SL1344_1989	0,78	4,88	0,09	0,16
SL1344_3438	0,85	4,99	0,07	0,13
SL1344_3693	-0,57	8,47	0,14	0,23
STsORF14	0,41	4,67	0,45	0,56
STsORF43	0,79	6,82	0,02	0,05
SL1344_1031	1,25	3,74	0,13	0,21
SL1344_3447	-1,41	4,26	0,03	0,06
STsORF158	-2,47	2,72	0,09	0,16
SL1344_1128	-1,08	9,69	0,00	0,00
SL1344_1737	-0,77	5,26	0,07	0,13
STsORF101	-0,89	7,42	0,00	0,01
STsORF202	0,00	3,37	1,00	1,00
SL1344_2257	-0,29	4,65	0,60	0,69
SL1344_4272	-0,09	4,43	0,88	0,92
STsORF187	1,03	3,62	0,24	0,34
SL1344_1629	1,71	3,47	0,11	0,19
SL1344_1752	-0,42	6,35	0,16	0,25
SL1344_3389	0,79	9,45	0,01	0,01
STsORF100	-1,25	6,28	0,00	0,00
STsORF107	2,93	4,81	0,00	0,00
STsORF168	0,60	6,34	0,09	0,16
SL1344_0924	-0,93	5,62	0,01	0,03
SL1344_1207	0,32	4,88	0,58	0,68
SL1344_1443	-1,07	4,52	0,06	0,11
SL1344_1659	1,39	4,69	0,01	0,03
SL1344_1797	4,83	7,63	0,00	0,00
STsORF93	0,23	3,92	0,72	0,80
STsORF123	-1,41	2,85	0,20	0,30
SL1344_1209	-2,02	5,25	0,00	0,00
SL1344_1916	0,46	6,27	0,15	0,24
SL1344_2806	-0,73	8,51	0,00	0,00
STsORF153	4,39	6,26	0,00	0,00
SL1344_1301	-0,76	7,24	0,02	0,04
SL1344_2700	3,71	7,11	0,00	0,00
SL1344_4097	2,36	4,16	0,03	0,06
STsORF31	-0,06	4,53	0,90	0,93
STsORF155	1,12	4,70	0,05	0,10
SL1344_0138	-0,92	4,66	0,06	0,11
SL1344_0384	-0,55	7,40	0,04	0,08
SL1344_0996	-0,46	3,76	0,60	0,70
SL1344_1280	-1,79	6,97	0,00	0,00
SL1344_1575	0,81	5,67	0,05	0,10
SL1344_1781	0,67	4,59	0,19	0,29
SL1344_2468	-0,14	6,39	0,64	0,73
SL1344_2585	-1,66	5,33	0,00	0,00
SL1344_3399	1,10	11,35	0,00	0,00
SL1344_3588	-0,86	4,28	0,11	0,19
STsORF46	5,65	3,49	0,00	0,00
STsORF127	1,18	4,52	0,05	0,09
SL1344_0350	1,19	3,33	0,23	0,33
SL1344_0624	-0,44	7,94	0,11	0,19
SL1344_1912	-0,25	6,23	0,44	0,55
SL1344_3411	-0,61	8,53	0,01	0,03
STsORF186	1,88	4,50	0,02	0,05
SL1344_0589	2,65	6,19	0,00	0,00
SL1344_1269	-0,34	9,62	0,15	0,23
SL1344_4180	3,63	6,84	0,00	0,00
STsORF74	5,95	10,53	0,00	0,00
STsORF240	1,06	4,39	0,06	0,12
SL1344_1792	1,82	3,97	0,07	0,13
SL1344_1799	4,39	11,17	0,00	0,00
SL1344_1946	1,20	3,38	0,31	0,42
SL1344_2447	0,98	5,72	0,01	0,03
SL1344_2499	0,36	7,41	0,18	0,27
SL1344_3423	1,82	6,65	0,00	0,00
SL1344_3615	-2,59	12,57	0,00	0,00
STsORF112	-0,03	3,38	0,97	0,98
SL1344_0620	1,71	7,47	0,00	0,00
SL1344_1439	-0,16	4,18	0,82	0,87
SL1344_2673	2,42	3,49	0,07	0,13
SL1344_3338	-0,33	4,18	0,64	0,73
SL1344_3586	0,46	5,04	0,28	0,39
SL1344_3900	-1,66	6,59	0,00	0,00
SL1344_4462	0,21	4,51	0,71	0,79
SL1344_P2_0018	-0,11	5,62	0,81	0,87
SL1344_0689	1,94	7,26	0,00	0,00
SL1344_1330A	-0,12	4,37	0,84	0,89
SL1344_2595	1,69	4,67	0,01	0,02
SL1344_4323	-1,58	5,90	0,00	0,00
SL1344_4339	-0,41	10,01	0,09	0,15
SL1344_P3_0005	2,88	9,34	0,00	0,00
SL1344_1766	-0,27	10,53	0,49	0,60
SL1344_3170	0,22	5,60	0,61	0,70
SL1344_3653	1,04	3,32	0,23	0,33
SL1344_P1_0085	0,56	4,59	0,37	0,48
STsORF60	3,63	2,76	0,07	0,13
STsORF215	0,92	3,77	0,22	0,32
SL1344_0534	-0,32	5,70	0,34	0,45
SL1344_0617	-0,78	12,02	0,00	0,00
SL1344_1182	1,36	4,80	0,02	0,05
SL1344_1322	-0,77	5,70	0,04	0,09
SL1344_1635	-1,25	6,28	0,00	0,00
SL1344_1924	-2,25	9,69	0,00	0,00
SL1344_4045	-1,66	8,79	0,00	0,00
SL1344_4176	-2,10	8,79	0,00	0,00
SL1344_P3_0006	2,18	8,57	0,00	0,00
SL1344_P1_0092	1,96	6,25	0,00	0,00
SL1344_0045	-1,53	4,22	0,03	0,06
SL1344_0301	-0,34	3,94	0,62	0,72
SL1344_0374	1,16	6,50	0,00	0,00
SL1344_1340	6,61	8,62	0,00	0,00
SL1344_1494	-1,18	4,04	0,12	0,20
SL1344_3183	-1,66	10,56	0,00	0,00
SL1344_4249	-3,63	4,94	0,00	0,00
SL1344_P1_0015	0,98	4,08	0,25	0,36
STsORF75	1,49	5,50	0,00	0,01
STsORF76	0,11	4,32	0,86	0,91
SL1344_0239	-0,53	7,30	0,05	0,10
SL1344_0466	0,28	7,64	0,33	0,44
SL1344_0575	0,14	5,33	0,72	0,79
SL1344_0891	-2,08	9,31	0,00	0,00
SL1344_1617	5,82	7,37	0,00	0,00
SL1344_1637	-0,68	6,35	0,03	0,07
SL1344_2645	0,80	3,96	0,21	0,31
SL1344_2665	-0,01	3,76	0,99	0,99
SL1344_2985	-1,29	5,00	0,00	0,01
SL1344_3421	0,88	4,74	0,11	0,18
SL1344_3430	0,03	5,46	0,94	0,95
SL1344_P1_0080	2,62	7,93	0,00	0,00
STsORF193	-1,79	7,94	0,00	0,00
SL1344_0882	2,72	6,97	0,00	0,00
SL1344_1516	0,92	4,66	0,12	0,20
SL1344_2480	1,03	4,95	0,04	0,08
SL1344_3365	0,11	4,69	0,84	0,89
SL1344_3427	0,34	3,59	0,67	0,76
SL1344_P2_0028	5,49	4,54	0,00	0,00
SL1344_P1_0048	3,64	3,81	0,07	0,12
STsORF219	-0,16	6,24	0,61	0,71
STsORF245	0,65	3,93	0,43	0,54
SL1344_0343	1,37	4,00	0,26	0,37
SL1344_0357	0,13	3,64	0,86	0,91
SL1344_1125	0,54	4,00	0,45	0,56
SL1344_1619	6,41	8,56	0,00	0,00
SL1344_1878	-1,95	5,32	0,00	0,00
SL1344_3882	-0,12	4,92	0,76	0,82
SL1344_P3_0002	-2,30	7,63	0,01	0,03
SL1344_1057	0,87	7,44	0,02	0,05
SL1344_1089	0,17	3,76	0,79	0,85
SL1344_1341	6,84	9,23	0,00	0,00
SL1344_1913	1,98	4,99	0,00	0,00
SL1344_2204	-2,68	6,69	0,00	0,00
SL1344_2389	0,19	4,34	0,76	0,83
SL1344_2549	4,23	6,01	0,00	0,00
SL1344_2703	2,76	2,53	0,18	0,28
SL1344_2963	-1,78	8,53	0,00	0,00
SL1344_3012	1,24	7,82	0,00	0,00
SL1344_3472	0,87	6,96	0,01	0,02
SL1344_3525	3,45	5,76	0,00	0,00
SL1344_4326	-0,57	8,39	0,01	0,03
SL1344_0081	-3,45	3,69	0,00	0,00
SL1344_1393	0,17	7,67	0,54	0,64
SL1344_1530A	5,37	8,73	0,00	0,00
SL1344_1533	5,80	7,17	0,00	0,00
SL1344_1698	-0,48	5,09	0,32	0,43
SL1344_1810	-1,06	4,16	0,06	0,11
SL1344_2438	-0,42	5,56	0,31	0,42
STsORF142	3,90	5,03	0,00	0,00
SL1344_0957	0,37	5,46	0,42	0,53
SL1344_1523	-0,69	4,96	0,11	0,19
SL1344_2584	1,83	6,31	0,00	0,00
SL1344_2699	3,32	6,85	0,00	0,00
SL1344_2714	-1,80	4,78	0,00	0,00
SL1344_3686	0,23	5,59	0,55	0,66
SL1344_P2_0007	-0,90	6,10	0,01	0,03
SL1344_1133	-1,28	10,95	0,00	0,00
SL1344_1311	-3,97	14,37	0,00	0,00
SL1344_1375	-1,11	4,09	0,09	0,15
SL1344_3474	1,23	7,23	0,00	0,00
SL1344_3694	-2,30	9,38	0,00	0,00
SL1344_4483	1,73	7,71	0,00	0,01
SL1344_1180	0,04	7,57	0,90	0,93
SL1344_1310	1,16	5,67	0,00	0,01
SL1344_1370	1,27	3,66	0,10	0,18
SL1344_1770	-3,64	4,69	0,00	0,00
SL1344_1780	2,76	7,06	0,00	0,00
SL1344_2397	1,70	4,02	0,05	0,09
SL1344_2781	2,26	6,41	0,00	0,00
SL1344_3837	-0,35	9,72	0,15	0,23
SL1344_4037	-0,56	8,81	0,01	0,03
STsORF5	0,44	6,53	0,15	0,24
STsORF188	-2,68	6,48	0,00	0,00
SL1344_0418	-0,65	5,66	0,07	0,13
SL1344_1254	0,21	4,80	0,71	0,79
SL1344_1330	6,10	8,12	0,00	0,00
SL1344_1927A	0,75	5,69	0,09	0,17
SL1344_1975	1,92	3,29	0,07	0,13
SL1344_2368	0,40	4,59	0,45	0,57
SL1344_2455	-0,61	3,42	0,48	0,59
SL1344_2853	-6,44	8,37	0,00	0,00
SL1344_3354	-0,53	3,77	0,43	0,54
SL1344_3539	-0,51	3,97	0,48	0,59
SL1344_4158	1,19	4,60	0,04	0,09
SL1344_4379	0,72	5,98	0,05	0,10
STsORF227	-1,36	6,45	0,00	0,00
SL1344_1099	2,56	7,53	0,00	0,00
SL1344_2162	-1,40	3,03	0,22	0,32
SL1344_2790	3,27	5,71	0,00	0,00
SL1344_3543	0,07	5,76	0,85	0,90
SL1344_P2_0024	1,88	6,36	0,00	0,00
SL1344_P2_0082	-0,47	3,64	0,55	0,66
SL1344_P1_0026	-0,99	3,69	0,30	0,41
SL1344_P1_0102	-1,78	9,05	0,00	0,00
STsORF81	0,84	5,73	0,04	0,08
STsORF172	-0,51	3,57	0,52	0,63
SL1344_0570	-0,28	3,95	0,68	0,76
SL1344_1202	1,50	5,34	0,00	0,01
SL1344_1210	-1,86	6,96	0,00	0,00
SL1344_1342	7,70	9,32	0,00	0,00
SL1344_1480	1,10	7,11	0,01	0,03
SL1344_2583	0,24	6,91	0,58	0,68
SL1344_2649	-0,74	8,85	0,08	0,15
SL1344_2860	-0,89	6,98	0,00	0,01
SL1344_3117	0,74	3,76	0,34	0,45
STsORF50	-1,24	6,06	0,00	0,00
SL1344_0781	-0,87	3,47	0,23	0,33
SL1344_1211	2,23	7,30	0,00	0,00
SL1344_1647	-0,19	6,58	0,54	0,65
SL1344_3668	-0,50	6,75	0,09	0,16
STsORF116	-3,39	4,30	0,00	0,00
SL1344_0238	0,40	7,23	0,17	0,26
SL1344_1224A	-0,17	4,61	0,75	0,82
SL1344_1593	-0,57	6,73	0,05	0,09
SL1344_1603	0,20	4,54	0,69	0,77
SL1344_1725	1,53	4,72	0,01	0,02
SL1344_1985	0,40	4,38	0,43	0,54
SL1344_2187	-0,44	4,01	0,49	0,60
SL1344_2248	-2,84	6,06	0,00	0,00
SL1344_3398	2,31	11,85	0,00	0,00
SL1344_3927	-0,34	8,66	0,14	0,23
SL1344_1098	0,07	5,88	0,84	0,89
SL1344_1151	1,67	8,69	0,00	0,00
SL1344_2271	-0,79	4,95	0,09	0,16
SL1344_2273	3,00	8,39	0,00	0,00
SL1344_2394	0,04	8,81	0,87	0,91
SL1344_2935	0,53	5,69	0,20	0,30
SL1344_3275	-0,42	10,07	0,05	0,10
SL1344_3367	0,69	5,49	0,08	0,15
SL1344_3808	-0,97	6,57	0,00	0,01
SL1344_4431	1,70	4,03	0,03	0,06
SL1344_0462	5,88	9,73	0,00	0,00
SL1344_0799	0,12	4,47	0,85	0,89
SL1344_0949	-1,21	3,38	0,15	0,24
SL1344_2538	2,47	6,56	0,00	0,00
SL1344_2868	-4,18	6,30	0,00	0,00
SL1344_3484	1,54	8,00	0,00	0,00
SL1344_3862	-3,00	6,29	0,00	0,00
STsORF163	-1,86	5,79	0,00	0,00
SL1344_0044	-2,34	11,29	0,00	0,00
SL1344_0286A	2,14	6,23	0,00	0,00
SL1344_0848	-1,97	8,53	0,00	0,00
SL1344_0979	-0,01	3,44	0,99	1,00
SL1344_1183	6,87	6,13	0,00	0,00
SL1344_1527	-0,21	5,97	0,60	0,70
SL1344_2230	2,41	3,60	0,08	0,15
SL1344_3333	-2,39	4,12	0,00	0,00
SL1344_P1_0071	-0,76	5,30	0,09	0,16
SL1344_0378	2,22	7,56	0,00	0,00
SL1344_0800	1,46	4,44	0,01	0,03
SL1344_1354	7,49	8,16	0,00	0,00
SL1344_1744	-1,08	6,27	0,00	0,01
SL1344_2750	2,15	3,76	0,01	0,01
SL1344_3023	-0,97	6,92	0,00	0,00
SL1344_3334	-1,53	4,52	0,00	0,01
SL1344_4020	3,32	4,02	0,00	0,00
SL1344_4239	-3,19	3,59	0,00	0,00
SL1344_P2_0043	0,88	3,54	0,42	0,53
SL1344_1331	7,49	9,91	0,00	0,00
SL1344_1909	-2,90	4,60	0,00	0,00
SL1344_3256	-1,26	10,21	0,00	0,00
SL1344_3378	1,23	6,08	0,00	0,00
SL1344_3745	0,17	3,55	0,86	0,91
SL1344_3943	-0,79	6,29	0,01	0,03
SL1344_4248	-3,71	3,84	0,00	0,00
SL1344_P2_0003	2,74	8,12	0,00	0,00
SL1344_P2_0008	1,20	4,97	0,04	0,08
STsORF132	4,50	7,54	0,00	0,00
SL1344_0329	-1,41	3,44	0,08	0,15
SL1344_0445	-1,45	10,51	0,00	0,00
SL1344_1186	1,08	6,80	0,00	0,00
SL1344_2312	4,18	7,70	0,00	0,00
SL1344_2836	1,23	5,65	0,01	0,02
SL1344_3001	1,82	7,55	0,00	0,00
SL1344_3296	0,44	4,92	0,38	0,50
SL1344_3335	1,58	4,49	0,01	0,02
SL1344_3538	0,21	4,63	0,71	0,79
SL1344_4109	-2,90	11,75	0,00	0,00
SL1344_4129	-1,00	5,31	0,02	0,05
SL1344_0361	0,68	5,52	0,08	0,15
SL1344_1235	-2,12	4,35	0,00	0,00
SL1344_1558	0,06	5,83	0,88	0,92
SL1344_2349	-1,20	5,83	0,00	0,00
SL1344_2936	0,82	7,12	0,00	0,01
SL1344_3086	-0,57	5,89	0,09	0,16
SL1344_3483	2,59	7,97	0,00	0,00
SL1344_3707	-1,24	8,24	0,00	0,00
SL1344_4322	3,00	3,75	0,00	0,01
STsORF108	2,39	5,19	0,00	0,00
SL1344_1227	1,11	6,12	0,00	0,01
SL1344_1710	4,09	4,99	0,00	0,00
SL1344_3403	0,95	10,63	0,00	0,00
SL1344_0677	-1,53	5,31	0,00	0,00
SL1344_0725	-0,58	6,54	0,05	0,10
SL1344_1023	0,62	4,05	0,45	0,56
SL1344_1998	-0,67	3,51	0,33	0,44
SL1344_2130	1,10	3,58	0,28	0,39
SL1344_2586	-0,24	3,24	0,79	0,85
SL1344_3870	-1,37	5,47	0,00	0,00
SL1344_4199	-0,28	7,03	0,28	0,39
SL1344_P2_0004	3,47	7,48	0,00	0,00
SL1344_0155	-2,03	3,47	0,01	0,02
SL1344_0386	-1,00	6,63	0,00	0,00
SL1344_0919	0,08	8,11	0,71	0,79
SL1344_1415	5,18	8,98	0,00	0,00
SL1344_1479	2,17	5,57	0,00	0,00
SL1344_2201	-0,28	8,73	0,52	0,63
SL1344_2359	-0,04	6,96	0,90	0,93
SL1344_2599	-0,36	3,05	0,76	0,82
SL1344_2733	2,08	5,26	0,00	0,00
SL1344_4380	1,48	5,97	0,00	0,00
SL1344_P2_0053	-1,17	11,72	0,00	0,00
SL1344_P3_0011	3,50	7,83	0,00	0,00
SL1344_P1_0104	-0,31	5,49	0,43	0,54
STsORF125	-0,20	7,73	0,45	0,56
SL1344_1768	1,41	8,44	0,00	0,00
SL1344_3125	2,52	5,32	0,00	0,00
SL1344_3278	3,27	5,71	0,00	0,00
SL1344_3293	0,11	7,34	0,66	0,75
SL1344_3416	1,07	6,03	0,00	0,01
SL1344_3618	2,47	7,60	0,00	0,00
SL1344_3749	2,62	4,67	0,00	0,00
SL1344_4250	-5,59	5,74	0,00	0,00
SL1344_4459	2,46	7,04	0,00	0,00
SL1344_P2_0103	0,59	6,44	0,10	0,18
STsORF30	-0,24	6,28	0,46	0,57
SL1344_0083	4,77	9,36	0,00	0,00
SL1344_0849	0,06	3,86	0,92	0,95
SL1344_0956	-2,64	7,19	0,00	0,00
SL1344_1260	0,58	4,79	0,24	0,34
SL1344_1816	2,38	8,82	0,00	0,00
SL1344_2658	0,07	5,77	0,86	0,90
SL1344_2732	-1,33	5,83	0,00	0,00
SL1344_2884	2,69	8,09	0,00	0,00
SL1344_3077	-1,28	5,41	0,00	0,01
SL1344_3394	-0,21	10,66	0,37	0,48
SL1344_3614	0,50	5,62	0,18	0,28
SL1344_3761	-1,43	5,49	0,00	0,00
SL1344_3980	3,82	6,16	0,00	0,00
SL1344_P1_0078	1,98	7,06	0,00	0,00
SL1344_1109	-4,15	5,46	0,00	0,00
SL1344_3270	-1,72	7,50	0,00	0,00
SL1344_3280	-1,54	5,73	0,00	0,00
SL1344_3739	0,54	3,38	0,50	0,61
SL1344_4028	2,74	6,84	0,00	0,00
SL1344_4253	0,43	6,06	0,20	0,30
SL1344_4266	-0,65	9,67	0,01	0,02
SL1344_P1_0013	1,28	3,59	0,26	0,37
STsORF66	1,45	6,54	0,00	0,00
SL1344_1669	-1,55	5,98	0,00	0,00
SL1344_2705	1,53	3,17	0,14	0,22
SL1344_2916	0,89	4,41	0,12	0,20
SL1344_3281	-0,74	6,76	0,01	0,02
SL1344_3358	-0,16	8,31	0,46	0,57
SL1344_P2_0054A	0,36	14,05	0,23	0,34
SL1344_P1_0082	1,38	5,54	0,01	0,02
STsORF59	1,51	6,94	0,00	0,00
SL1344_1464	1,50	4,25	0,03	0,06
SL1344_1630	0,36	6,36	0,31	0,43
SL1344_1922	2,27	4,80	0,00	0,00
SL1344_2753	0,25	3,82	0,75	0,82
SL1344_3064	-2,28	4,75	0,00	0,00
SL1344_3169	-0,25	5,01	0,55	0,66
SL1344_3203	-0,64	6,17	0,04	0,08
SL1344_0002	-0,22	8,61	0,31	0,43
SL1344_0003	2,24	8,95	0,00	0,00
SL1344_0004	1,94	9,49	0,00	0,00
SL1344_0005	0,93	6,39	0,01	0,02
SL1344_0006	2,00	7,47	0,00	0,00
SL1344_0007	-1,23	9,19	0,00	0,00
SL1344_0008	-1,60	6,14	0,00	0,00
SL1344_0009	-0,66	4,67	0,19	0,28
SL1344_0011	-2,32	3,32	0,04	0,09
SL1344_0012	-0,09	8,81	0,71	0,79
SL1344_0013	-0,04	6,43	0,89	0,92
SL1344_0014	-0,32	3,85	0,64	0,73
SL1344_0016	1,25	3,70	0,22	0,32
SL1344_0018	2,16	7,17	0,00	0,00
SL1344_0019	0,39	5,71	0,36	0,47
SL1344_0020	0,84	3,45	0,52	0,63
SL1344_0021	0,59	3,59	0,54	0,65
SL1344_0023	-0,20	4,09	0,80	0,86
SL1344_0024	0,31	3,49	0,73	0,80
SL1344_0028	0,98	4,76	0,07	0,13
SL1344_0029	-0,93	4,14	0,18	0,28
SL1344_0031	0,25	3,44	0,82	0,87
SL1344_0033	0,51	4,71	0,39	0,51
SL1344_0034	0,29	5,09	0,58	0,68
SL1344_0036	0,84	5,51	0,20	0,30
SL1344_0037	-0,11	4,72	0,86	0,90
SL1344_0038	1,18	4,23	0,09	0,16
SL1344_0039	0,31	5,55	0,55	0,65
SL1344_0040	-0,10	8,83	0,66	0,75
SL1344_0041	0,08	7,88	0,74	0,81
SL1344_0042	0,74	4,49	0,26	0,37
SL1344_0046	-0,35	7,80	0,12	0,20
SL1344_0047	-0,17	9,84	0,40	0,52
SL1344_0048	0,04	7,76	0,86	0,91
SL1344_0049	0,27	5,84	0,45	0,56
SL1344_0050	-0,05	7,59	0,86	0,90
SL1344_0051	-0,57	5,65	0,13	0,21
SL1344_0052	0,31	5,84	0,37	0,49
SL1344_0053	1,16	3,89	0,15	0,24
SL1344_0054	2,40	4,71	0,00	0,00
SL1344_0059	1,81	3,58	0,13	0,21
SL1344_0061	1,77	3,40	0,14	0,23
SL1344_0062	2,37	4,13	0,01	0,03
SL1344_0063	1,09	3,49	0,35	0,47
SL1344_0064	0,35	3,81	0,65	0,74
