locus tag	logFC	logCPM	PValue	FDR
STsORF61	1,06	3,11	0,30	0,42
STsORF244	-0,37	4,46	0,52	0,63
STsORF221	-0,13	3,89	0,86	0,91
STsORF52	-0,73	4,18	0,23	0,33
STsORF73	6,57	10,48	0,00	0,00
STsORF177	-0,87	3,23	0,41	0,53
STsORF80	-0,14	10,65	0,88	0,92
STsORF222	2,23	5,64	0,00	0,00
STsORF157	-0,21	3,71	0,80	0,86
STsORF160	-0,34	6,07	0,40	0,52
STsORF166	0,49	3,62	0,73	0,81
STsORF199	-0,02	3,30	0,98	0,99
STsORF232	0,64	2,77	0,59	0,69
STsORF4	2,78	4,77	0,00	0,00
STsORF24	-2,45	2,96	0,03	0,07
STsORF36	0,15	5,62	0,69	0,77
STsORF62	2,70	4,15	0,00	0,01
STsORF84	-1,65	3,29	0,05	0,09
STsORF129	-1,27	7,62	0,00	0,00
STsORF178	4,58	4,34	0,00	0,00
STsORF204	0,01	4,04	0,99	0,99
STsORF214	6,84	5,02	0,00	0,00
STsORF246	2,79	5,96	0,00	0,00
STsORF47	-0,21	4,33	0,74	0,81
STsORF139	5,38	3,87	0,00	0,00
STsORF229	-1,14	5,34	0,01	0,03
STsORF241	0,31	7,49	0,30	0,41
STsORF247	-2,04	6,45	0,00	0,00
STsORF15	1,32	3,93	0,23	0,34
STsORF64	1,57	5,90	0,00	0,00
STsORF128	0,04	3,51	0,96	0,97
STsORF208	-0,46	3,67	0,58	0,68
STsORF126	0,95	3,99	0,13	0,21
STsORF141	-1,17	4,53	0,02	0,04
STsORF176	-1,59	3,28	0,05	0,10
STsORF195	0,55	3,67	0,51	0,62
STsORF77	-1,13	4,68	0,04	0,08
STsORF95	2,62	4,55	0,00	0,00
STsORF167	-0,61	3,78	0,41	0,52
STsORF196	-1,20	4,87	0,01	0,02
SL1344_2548	0,34	2,96	0,78	0,85
STsORF144	3,02	3,66	0,00	0,00
STsORF225	2,18	2,79	0,13	0,21
