locus tag	logFC	logCPM	PValue	FDR
STsORF61	2,85	3,11	0,04	0,10
STsORF244	-2,02	4,46	0,15	0,30
STsORF221	1,30	3,89	0,22	0,38
STsORF52	0,20	4,18	0,83	0,90
STsORF73	8,06	10,48	0,00	0,00
STsORF177	0,48	3,23	0,75	0,85
STsORF80	-1,08	10,65	0,28	0,45
STsORF222	-0,68	5,64	0,65	0,78
STsORF157	2,30	3,71	0,03	0,08
STsORF160	-0,95	6,07	0,20	0,36
STsORF166	-2,78	3,62	0,56	0,71
STsORF199	0,60	3,30	0,66	0,79
STsORF232	2,67	2,77	0,07	0,17
STsORF4	-4,23	4,77	0,29	0,46
STsORF24	-5,31	2,96	0,15	0,29
STsORF36	-0,34	5,62	0,61	0,75
STsORF62	1,22	4,15	0,52	0,68
STsORF84	-0,46	3,29	0,72	0,83
STsORF129	-1,07	7,62	0,01	0,05
STsORF178	4,63	4,34	0,00	0,02
STsORF204	-0,59	4,04	0,63	0,77
STsORF214	8,81	5,02	0,00	0,00
STsORF246	2,84	5,96	0,00	0,00
STsORF47	-1,61	4,33	0,29	0,46
STsORF139	-0,01	3,87	1,00	1,00
STsORF229	-1,25	5,34	0,11	0,22
STsORF241	2,40	7,49	0,00	0,00
STsORF247	0,00	6,45	0,99	1,00
STsORF15	-3,28	3,93	0,47	0,64
STsORF64	1,27	5,90	0,05	0,13
STsORF128	-5,29	3,51	0,14	0,28
STsORF208	-5,32	3,67	0,15	0,29
STsORF126	-5,62	3,99	0,08	0,19
STsORF141	-2,09	4,53	0,04	0,10
STsORF176	-0,32	3,28	0,80	0,88
STsORF195	0,92	3,67	0,52	0,68
STsORF77	-0,40	4,68	0,64	0,78
STsORF95	-3,95	4,55	0,33	0,50
STsORF167	-0,39	3,78	0,77	0,86
STsORF196	-1,14	4,87	0,15	0,29
SL1344_2548	1,21	2,96	0,55	0,70
STsORF144	2,26	3,66	0,17	0,32
STsORF225	2,57	2,79	0,27	0,44
STsORF56	-0,02	3,60	1,00	1,00
STsORF183	1,75	3,69	0,26	0,43
STsORF53	0,27	4,40	0,74	0,84
STsORF117	0,52	4,78	0,59	0,73
STsORF120	1,42	6,26	0,08	0,18
STsORF122	6,06	2,36	0,01	0,03
STsORF18	1,09	4,65	0,18	0,34
STsORF41	-1,54	4,09	0,18	0,33
STsORF68	6,14	9,51	0,00	0,00
STsORF94	-2,75	4,19	0,53	0,69
STsORF233	-0,56	10,31	0,02	0,06
SL1344_P1_0100	-0,22	7,47	0,51	0,67
STsORF23	-2,02	4,40	0,65	0,78
STsORF48	0,82	6,58	0,05	0,14
STsORF124	0,24	5,34	0,76	0,86
STsORF150	-0,87	4,47	0,30	0,47
STsORF203	2,12	5,41	0,00	0,01
STsORF224	0,87	4,17	0,37	0,54
STsORF228	-0,42	4,76	0,56	0,71
STsORF16	0,88	3,56	0,64	0,77
STsORF22	3,47	3,00	0,08	0,19
STsORF90	3,62	3,05	0,07	0,17
