locus tag	logFC	logCPM	PValue	FDR
STsORF119	-0,27	4,49	0,83	0,90
STsORF220	4,54	6,01	0,00	0,00
SL1344_0463	6,38	8,72	0,00	0,00
STsORF91	3,08	4,87	0,02	0,06
STsORF134	0,19	6,87	0,81	0,89
STsORF174	-0,90	6,73	0,01	0,03
SL1344_0001	-1,69	10,11	0,00	0,00
SL1344_0114	-0,85	9,86	0,03	0,08
STsORF138	-1,64	6,97	0,05	0,12
STsORF212	5,78	6,55	0,00	0,00
STsORF250	2,60	3,10	0,27	0,44
SL1344_1722	-4,31	3,20	0,29	0,47
SL1344_P2_0001	0,03	7,04	0,95	0,97
STsORF169	-2,31	4,55	0,07	0,16
STsORF185	1,15	4,95	0,17	0,32
STsORF235	-0,02	6,21	0,96	0,98
STsORF49	-1,04	7,80	0,00	0,01
STsORF67	6,17	8,54	0,00	0,00
STsORF85	-5,42	4,10	0,11	0,23
STsORF106	1,29	8,10	0,00	0,00
STsORF109	0,00	3,57	1,00	1,00
STsORF17	0,22	5,05	0,76	0,86
STsORF69	-0,75	5,43	0,35	0,52
STsORF86	1,46	6,90	0,00	0,00
STsORF88	-1,01	5,91	0,12	0,24
STsORF145	0,36	5,68	0,73	0,84
SL1344_3763	1,85	9,45	0,00	0,00
STsORF25	-1,49	3,83	0,33	0,50
STsORF105	0,13	4,83	0,89	0,94
STsORF164	-1,29	4,51	0,12	0,24
STsORF236	7,65	5,67	0,00	0,00
SL1344_0354	0,07	4,97	0,92	0,96
SL1344_4392	-5,25	3,38	0,15	0,29
STsORF39	-2,18	5,38	0,00	0,01
STsORF55	1,41	3,54	0,18	0,34
STsORF63	0,22	9,90	0,43	0,60
STsORF237	0,41	5,57	0,55	0,70
STsORF11	1,39	3,64	0,36	0,53
STsORF42	0,33	4,25	0,76	0,86
STsORF72	6,80	6,82	0,00	0,00
STsORF135	1,57	3,84	0,13	0,26
STsORF197	1,34	4,70	0,03	0,08
STsORF242	-2,69	4,96	0,04	0,11
SL1344_0724	0,97	6,13	0,06	0,15
SL1344_3386	0,05	9,36	0,88	0,93
STsORF130	-0,62	3,04	0,71	0,82
STsORF198	-0,76	4,45	0,41	0,58
SL1344_4408	-1,02	6,26	0,07	0,16
STsORF82	2,27	4,18	0,03	0,09
STsORF143	3,11	4,43	0,00	0,00
STsORF70	1,92	7,74	0,00	0,00
STsORF156	-0,89	10,00	0,14	0,28
STsORF44	1,57	9,16	0,00	0,00
STsORF89	5,83	7,92	0,00	0,00
STsORF179	-3,12	10,97	0,00	0,00
SL1344_0696	-0,12	2,97	1,00	1,00
SL1344_3063	-0,33	5,08	0,65	0,78
SL1344_3209	0,85	3,83	0,58	0,73
SL1344_P2_0054	-1,20	10,90	0,00	0,00
STsORF57	3,19	5,57	0,01	0,03
SL1344_0709	-0,56	5,43	0,47	0,64
SL1344_1738	0,18	5,27	0,81	0,89
STsORF19	1,02	4,13	0,33	0,50
STsORF190	4,15	6,98	0,00	0,00
SL1344_4526	-0,43	3,96	0,78	0,87
STsORF40	-0,28	6,71	0,51	0,67
STsORF45	-4,43	3,93	0,31	0,48
SL1344_1495	0,52	6,67	0,20	0,35
SL1344_1767	-0,13	10,35	0,60	0,74
SL1344_1769	3,00	8,30	0,00	0,00
STsORF115	0,52	7,45	0,22	0,38
SL1344_4212	-1,23	3,53	0,46	0,63
SL1344_4273	-2,21	9,68	0,00	0,00
SL1344_0757	-0,42	7,81	0,52	0,68
SL1344_1203	0,36	4,04	0,79	0,87
SL1344_3134	-1,43	7,59	0,00	0,00
STsORF7	-4,04	9,53	0,00	0,00
STsORF162	0,39	4,44	0,62	0,75
STsORF58	-4,79	4,05	0,21	0,36
STsORF121	2,56	3,49	0,04	0,11
STsORF209	-4,37	3,48	0,27	0,44
SL1344_1579	0,08	3,79	0,95	0,98
STsORF83	-0,08	5,11	0,91	0,95
STsORF113	0,45	3,27	0,75	0,85
SL1344_1794	7,04	7,99	0,00	0,00
SL1344_2780	-0,40	5,59	0,52	0,68
STsORF51	-0,18	6,39	0,72	0,83
STsORF223	-0,68	3,87	0,56	0,71
SL1344_1927	1,38	5,14	0,18	0,33
STsORF248	-0,27	7,08	0,47	0,64
SL1344_1783	6,73	9,51	0,00	0,00
SL1344_3360	0,18	5,29	0,82	0,90
SL1344_4452	7,51	7,73	0,00	0,00
STsORF191	0,86	3,87	0,58	0,72
SL1344_0473	-4,44	3,63	0,28	0,45
SL1344_1006	-0,17	7,66	0,61	0,75
SL1344_1059	2,89	5,95	0,00	0,01
SL1344_1802	-1,57	4,65	0,14	0,28
SL1344_1989	-1,77	4,88	0,17	0,32
SL1344_3438	-0,17	4,99	0,86	0,92
SL1344_3693	-0,66	8,47	0,15	0,30
STsORF14	0,64	4,67	0,49	0,66
STsORF43	2,08	6,82	0,00	0,00
SL1344_1031	2,24	3,74	0,06	0,14
SL1344_3447	-0,43	4,26	0,65	0,78
STsORF158	1,86	2,72	0,15	0,30
SL1344_1128	-0,51	9,69	0,03	0,09
SL1344_1737	-2,27	5,26	0,02	0,07
STsORF101	-0,65	7,42	0,08	0,18
STsORF202	-0,18	3,37	0,92	0,96
SL1344_2257	1,32	4,65	0,07	0,17
SL1344_4272	-6,06	4,43	0,06	0,15
STsORF187	-4,36	3,62	0,30	0,48
SL1344_1629	2,79	3,47	0,07	0,16
SL1344_1752	-0,41	6,35	0,38	0,55
SL1344_3389	-0,38	9,45	0,23	0,39
STsORF100	-1,58	6,28	0,01	0,03
STsORF107	3,22	4,81	0,00	0,01
STsORF168	-1,28	6,34	0,13	0,26
SL1344_0924	-1,96	5,62	0,01	0,05
SL1344_1207	1,50	4,88	0,07	0,16
SL1344_1443	-0,01	4,52	0,99	1,00
SL1344_1659	0,32	4,69	0,77	0,87
SL1344_1797	4,64	7,63	0,00	0,00
STsORF93	-0,32	3,92	0,80	0,88
STsORF123	2,15	2,85	0,06	0,15
SL1344_1209	-2,40	5,25	0,01	0,02
SL1344_1916	-0,32	6,27	0,57	0,72
SL1344_2806	0,30	8,51	0,21	0,37
STsORF153	2,58	6,26	0,01	0,02
SL1344_1301	-0,49	7,24	0,24	0,41
SL1344_2700	1,87	7,11	0,02	0,06
SL1344_4097	-2,74	4,16	0,54	0,70
STsORF31	-2,24	4,53	0,08	0,18
STsORF155	1,29	4,70	0,17	0,31
SL1344_0138	-0,05	4,66	0,94	0,97
SL1344_0384	-0,72	7,40	0,05	0,13
SL1344_0996	-0,65	3,76	0,71	0,83
SL1344_1280	-1,97	6,97	0,00	0,00
SL1344_1575	2,16	5,67	0,00	0,00
SL1344_1781	0,20	4,59	0,83	0,90
SL1344_2468	-1,64	6,39	0,01	0,04
SL1344_2585	0,25	5,33	0,65	0,78
SL1344_3399	0,61	11,35	0,01	0,03
SL1344_3588	-0,86	4,28	0,37	0,54
STsORF46	0,01	3,49	1,00	1,00
STsORF127	-5,36	4,52	0,11	0,23
SL1344_0350	-3,69	3,33	0,39	0,56
SL1344_0624	-0,86	7,94	0,03	0,08
SL1344_1912	-0,15	6,23	0,77	0,86
SL1344_3411	-0,32	8,53	0,24	0,41
STsORF186	-4,00	4,50	0,34	0,51
SL1344_0589	2,34	6,19	0,00	0,00
SL1344_1269	-0,72	9,62	0,01	0,03
SL1344_4180	1,62	6,84	0,14	0,28
STsORF74	7,77	10,53	0,00	0,00
STsORF240	-1,07	4,39	0,46	0,63
SL1344_1792	-3,35	3,97	0,45	0,62
SL1344_1799	7,04	11,17	0,00	0,00
SL1344_1946	5,13	3,38	0,00	0,00
SL1344_2447	-0,11	5,72	0,88	0,93
SL1344_2499	0,69	7,41	0,05	0,13
SL1344_3423	2,02	6,65	0,00	0,00
SL1344_3615	-1,51	12,57	0,00	0,00
STsORF112	0,44	3,38	0,76	0,85
SL1344_0620	1,95	7,47	0,00	0,00
SL1344_1439	-1,11	4,18	0,46	0,63
SL1344_2673	-1,95	3,49	0,66	0,79
SL1344_3338	-1,13	4,18	0,47	0,64
SL1344_3586	-0,15	5,04	0,84	0,91
SL1344_3900	-1,70	6,59	0,00	0,00
SL1344_4462	-0,45	4,51	0,70	0,82
SL1344_P2_0018	-1,24	5,62	0,19	0,35
SL1344_0689	0,90	7,26	0,11	0,23
SL1344_1330A	0,89	4,37	0,30	0,47
SL1344_2595	1,97	4,67	0,05	0,12
SL1344_4323	-1,81	5,90	0,00	0,02
SL1344_4339	0,58	10,01	0,02	0,07
SL1344_P3_0005	0,26	9,34	0,56	0,71
SL1344_1766	-0,22	10,53	0,58	0,72
SL1344_3170	1,13	5,60	0,07	0,16
SL1344_3653	0,36	3,32	0,84	0,91
SL1344_P1_0085	-5,51	4,59	0,10	0,21
STsORF60	-0,05	2,76	1,00	1,00
STsORF215	0,55	3,77	0,69	0,81
SL1344_0534	-0,33	5,70	0,55	0,70
SL1344_0617	-0,08	12,02	0,69	0,81
SL1344_1182	1,61	4,80	0,09	0,19
SL1344_1322	-1,19	5,70	0,08	0,18
SL1344_1635	-1,58	6,28	0,01	0,03
SL1344_1924	-1,70	9,69	0,00	0,00
SL1344_4045	-1,15	8,79	0,00	0,00
SL1344_4176	-1,17	8,79	0,00	0,00
SL1344_P3_0006	-0,28	8,57	0,52	0,68
SL1344_P1_0092	-6,32	6,25	0,02	0,07
SL1344_0045	0,37	4,22	0,67	0,80
SL1344_0301	-1,50	3,94	0,33	0,50
SL1344_0374	1,48	6,50	0,00	0,01
SL1344_1340	7,17	8,62	0,00	0,00
SL1344_1494	0,08	4,04	0,94	0,97
SL1344_3183	-1,67	10,56	0,00	0,00
SL1344_4249	-3,27	4,94	0,00	0,00
SL1344_P1_0015	-4,15	4,08	0,31	0,48
STsORF75	1,70	5,50	0,02	0,06
STsORF76	0,95	4,32	0,35	0,52
SL1344_0239	0,35	7,30	0,30	0,48
SL1344_0466	0,50	7,64	0,18	0,33
SL1344_0575	0,54	5,33	0,40	0,57
SL1344_0891	-1,63	9,31	0,00	0,00
SL1344_1617	4,38	7,37	0,00	0,00
SL1344_1637	-2,20	6,35	0,00	0,01
SL1344_2645	-0,96	3,96	0,54	0,69
SL1344_2665	-0,14	3,76	0,94	0,97
SL1344_2985	-1,43	5,00	0,07	0,17
SL1344_3421	0,23	4,74	0,82	0,90
SL1344_3430	-1,77	5,46	0,04	0,10
SL1344_P1_0080	1,25	7,93	0,01	0,02
STsORF193	-2,28	7,94	0,00	0,00
SL1344_0882	2,43	6,97	0,00	0,00
SL1344_1516	0,79	4,66	0,45	0,62
SL1344_2480	0,87	4,95	0,29	0,47
SL1344_3365	1,32	4,69	0,09	0,20
SL1344_3427	-5,00	3,59	0,20	0,35
SL1344_P2_0028	0,06	4,54	1,00	1,00
SL1344_P1_0048	0,06	3,81	1,00	1,00
STsORF219	-2,36	6,24	0,00	0,01
STsORF245	0,88	3,93	0,54	0,70
SL1344_0343	-2,71	4,00	0,55	0,71
SL1344_0357	-5,27	3,64	0,16	0,30
SL1344_1125	1,33	4,00	0,22	0,38
SL1344_1619	4,72	8,56	0,00	0,00
SL1344_1878	-8,39	5,32	0,00	0,00
SL1344_3882	-0,16	4,92	0,81	0,89
SL1344_P3_0002	-2,53	7,63	0,04	0,10
SL1344_1057	1,76	7,44	0,00	0,00
SL1344_1089	-5,47	3,76	0,10	0,21
SL1344_1341	7,41	9,23	0,00	0,00
SL1344_1913	-0,21	4,99	0,87	0,92
SL1344_2204	-1,33	6,69	0,00	0,02
SL1344_2389	0,95	4,34	0,30	0,47
SL1344_2549	6,23	6,01	0,00	0,00
SL1344_2703	4,84	2,53	0,08	0,18
SL1344_2963	-0,75	8,53	0,04	0,11
SL1344_3012	0,08	7,82	0,84	0,91
SL1344_3472	1,02	6,96	0,02	0,06
SL1344_3525	1,62	5,76	0,26	0,43
SL1344_4326	-1,08	8,39	0,00	0,00
SL1344_0081	-6,66	3,69	0,02	0,06
SL1344_1393	1,12	7,67	0,00	0,01
SL1344_1530A	6,03	8,73	0,00	0,00
SL1344_1533	5,03	7,17	0,00	0,00
SL1344_1698	1,27	5,09	0,04	0,11
SL1344_1810	-1,37	4,16	0,19	0,34
SL1344_2438	1,07	5,56	0,05	0,14
STsORF142	4,42	5,03	0,00	0,00
SL1344_0957	1,38	5,46	0,04	0,10
SL1344_1523	-7,36	4,96	0,00	0,01
SL1344_2584	0,04	6,31	0,96	0,98
SL1344_2699	2,47	6,85	0,00	0,00
SL1344_2714	-1,57	4,78	0,08	0,19
SL1344_3686	1,35	5,59	0,01	0,04
SL1344_P2_0007	-2,47	6,10	0,00	0,01
SL1344_1133	-0,27	10,95	0,24	0,40
SL1344_1311	-1,72	14,37	0,00	0,00
SL1344_1375	0,21	4,09	0,82	0,89
SL1344_3474	1,11	7,23	0,00	0,02
SL1344_3694	-1,13	9,38	0,00	0,00
SL1344_4483	1,57	7,71	0,03	0,08
SL1344_1180	0,36	7,57	0,42	0,58
SL1344_1310	0,92	5,67	0,17	0,32
SL1344_1370	0,98	3,66	0,50	0,66
SL1344_1770	-1,67	4,69	0,02	0,06
SL1344_1780	2,68	7,06	0,00	0,00
SL1344_2397	0,68	4,02	0,72	0,83
SL1344_2781	-5,87	6,41	0,05	0,13
SL1344_3837	0,92	9,72	0,00	0,00
SL1344_4037	-0,12	8,81	0,62	0,76
STsORF5	-0,91	6,53	0,11	0,24
STsORF188	-1,72	6,48	0,01	0,02
SL1344_0418	-0,67	5,66	0,28	0,45
SL1344_1254	-0,42	4,80	0,73	0,83
SL1344_1330	6,48	8,12	0,00	0,00
SL1344_1927A	0,98	5,69	0,17	0,32
SL1344_1975	1,23	3,29	0,56	0,71
SL1344_2368	-6,29	4,59	0,04	0,10
SL1344_2455	-0,59	3,42	0,73	0,84
SL1344_2853	-1,19	8,37	0,01	0,05
SL1344_3354	-1,48	3,77	0,31	0,49
SL1344_3539	-6,12	3,97	0,07	0,17
SL1344_4158	2,66	4,60	0,00	0,00
SL1344_4379	0,63	5,98	0,29	0,47
STsORF227	0,05	6,45	0,90	0,95
SL1344_1099	0,61	7,53	0,27	0,44
SL1344_2162	0,78	3,03	0,60	0,74
SL1344_2790	-5,24	5,71	0,12	0,24
SL1344_3543	-2,00	5,76	0,03	0,10
SL1344_P2_0024	1,90	6,36	0,01	0,02
SL1344_P2_0082	-5,23	3,64	0,13	0,27
SL1344_P1_0026	-0,39	3,69	0,82	0,90
SL1344_P1_0102	-0,60	9,05	0,16	0,31
STsORF81	-6,78	5,73	0,01	0,04
STsORF172	-0,88	3,57	0,59	0,73
SL1344_0570	-5,63	3,95	0,07	0,17
SL1344_1202	-1,29	5,34	0,38	0,55
SL1344_1210	-1,33	6,96	0,00	0,01
SL1344_1342	7,86	9,32	0,00	0,00
SL1344_1480	1,14	7,11	0,05	0,14
SL1344_2583	-0,14	6,91	0,84	0,91
SL1344_2649	-0,86	8,85	0,08	0,18
SL1344_2860	0,83	6,98	0,02	0,08
SL1344_3117	-4,83	3,76	0,20	0,36
STsORF50	-0,43	6,06	0,39	0,56
SL1344_0781	-1,34	3,47	0,37	0,54
SL1344_1211	2,67	7,30	0,00	0,00
SL1344_1647	-1,05	6,58	0,07	0,17
SL1344_3668	-0,42	6,75	0,34	0,51
STsORF116	-1,21	4,30	0,13	0,26
SL1344_0238	1,89	7,23	0,00	0,00
SL1344_1224A	-1,11	4,61	0,32	0,49
SL1344_1593	-0,53	6,73	0,21	0,37
SL1344_1603	-6,24	4,54	0,03	0,08
SL1344_1725	2,12	4,72	0,01	0,05
SL1344_1985	-6,42	4,38	0,02	0,07
SL1344_2187	-1,74	4,01	0,23	0,39
SL1344_2248	-0,84	6,06	0,06	0,15
SL1344_3398	1,06	11,85	0,00	0,00
SL1344_3927	0,67	8,66	0,01	0,04
SL1344_1098	-0,18	5,88	0,77	0,87
SL1344_1151	1,57	8,69	0,00	0,00
SL1344_2271	-0,14	4,95	0,84	0,91
SL1344_2273	3,40	8,39	0,00	0,00
SL1344_2394	0,80	8,81	0,00	0,01
SL1344_2935	-0,51	5,69	0,55	0,70
SL1344_3275	-0,92	10,07	0,00	0,00
SL1344_3367	0,25	5,49	0,72	0,83
SL1344_3808	-2,29	6,57	0,00	0,00
SL1344_4431	0,06	4,03	0,97	0,99
SL1344_0462	7,08	9,73	0,00	0,00
SL1344_0799	-5,69	4,47	0,09	0,19
SL1344_0949	-1,15	3,38	0,47	0,64
SL1344_2538	0,23	6,56	0,76	0,86
SL1344_2868	-0,25	6,30	0,54	0,70
SL1344_3484	-0,08	8,00	0,87	0,93
SL1344_3862	-3,40	6,29	0,00	0,00
STsORF163	-1,48	5,79	0,02	0,06
SL1344_0044	-1,27	11,29	0,00	0,00
SL1344_0286A	1,19	6,23	0,15	0,29
SL1344_0848	-0,59	8,53	0,07	0,16
SL1344_0979	-4,13	3,44	0,37	0,54
SL1344_1183	6,93	6,13	0,00	0,00
SL1344_1527	0,00	5,97	1,00	1,00
SL1344_2230	-1,98	3,60	0,68	0,80
SL1344_3333	-2,21	4,12	0,10	0,21
SL1344_P1_0071	-0,33	5,30	0,65	0,78
SL1344_0378	2,60	7,56	0,00	0,00
SL1344_0800	2,32	4,44	0,01	0,03
SL1344_1354	8,22	8,16	0,00	0,00
SL1344_1744	-0,03	6,27	0,95	0,98
SL1344_2750	1,76	3,76	0,17	0,32
SL1344_3023	-1,07	6,92	0,01	0,05
SL1344_3334	-7,48	4,52	0,00	0,01
SL1344_4020	2,77	4,02	0,05	0,13
SL1344_4239	-6,88	3,59	0,02	0,06
SL1344_P2_0043	-3,28	3,54	0,45	0,61
SL1344_1331	7,28	9,91	0,00	0,00
SL1344_1909	-8,20	4,60	0,00	0,00
SL1344_3256	-0,39	10,21	0,25	0,42
SL1344_3378	0,59	6,08	0,35	0,52
SL1344_3745	-4,24	3,55	0,32	0,49
SL1344_3943	-0,04	6,29	0,93	0,97
SL1344_4248	-1,17	3,84	0,24	0,41
SL1344_P2_0003	1,01	8,12	0,02	0,07
SL1344_P2_0008	1,88	4,97	0,04	0,10
STsORF132	5,03	7,54	0,00	0,00
SL1344_0329	-5,88	3,44	0,07	0,17
SL1344_0445	0,06	10,51	0,81	0,89
SL1344_1186	-0,63	6,80	0,34	0,51
SL1344_2312	6,35	7,70	0,00	0,00
SL1344_2836	0,54	5,65	0,50	0,66
SL1344_3001	1,28	7,55	0,07	0,17
SL1344_3296	0,45	4,92	0,58	0,72
SL1344_3335	1,31	4,49	0,21	0,37
SL1344_3538	1,06	4,63	0,22	0,38
SL1344_4109	-0,39	11,75	0,06	0,14
SL1344_4129	-0,77	5,31	0,27	0,44
SL1344_0361	1,36	5,52	0,02	0,06
SL1344_1235	-2,23	4,35	0,02	0,07
SL1344_1558	-0,28	5,83	0,68	0,80
SL1344_2349	-0,25	5,83	0,60	0,74
SL1344_2936	0,52	7,12	0,21	0,37
SL1344_3086	-0,66	5,89	0,25	0,42
SL1344_3483	1,00	7,97	0,03	0,09
SL1344_3707	-0,51	8,24	0,05	0,14
SL1344_4322	1,71	3,75	0,41	0,58
STsORF108	2,93	5,19	0,00	0,00
SL1344_1227	1,31	6,12	0,02	0,06
SL1344_1710	4,80	4,99	0,00	0,00
SL1344_3403	-0,53	10,63	0,03	0,10
SL1344_0677	-2,86	5,31	0,00	0,01
SL1344_0725	-0,09	6,54	0,83	0,91
SL1344_1023	1,90	4,05	0,11	0,23
SL1344_1998	-6,15	3,51	0,05	0,12
SL1344_2130	2,50	3,58	0,08	0,19
SL1344_2586	-4,63	3,24	0,23	0,39
SL1344_3870	0,06	5,47	0,91	0,95
SL1344_4199	-1,05	7,03	0,02	0,06
SL1344_P2_0004	1,12	7,48	0,12	0,25
SL1344_0155	-6,66	3,47	0,02	0,07
SL1344_0386	-0,87	6,63	0,05	0,12
SL1344_0919	0,68	8,11	0,01	0,04
SL1344_1415	5,89	8,98	0,00	0,00
SL1344_1479	1,60	5,57	0,06	0,14
SL1344_2201	-0,68	8,73	0,20	0,36
SL1344_2359	-1,51	6,96	0,01	0,05
SL1344_2599	1,57	3,05	0,32	0,49
SL1344_2733	-0,36	5,26	0,83	0,90
SL1344_4380	0,25	5,97	0,74	0,85
SL1344_P2_0053	-1,06	11,72	0,00	0,00
SL1344_P3_0011	1,44	7,83	0,03	0,10
SL1344_P1_0104	0,33	5,49	0,58	0,73
STsORF125	-0,20	7,73	0,57	0,71
SL1344_1768	1,86	8,44	0,00	0,00
SL1344_3125	1,98	5,32	0,02	0,06
SL1344_3278	-0,41	5,71	0,80	0,88
SL1344_3293	0,67	7,34	0,04	0,12
SL1344_3416	0,70	6,03	0,21	0,37
SL1344_3618	1,52	7,60	0,00	0,01
SL1344_3749	3,03	4,67	0,00	0,01
SL1344_4250	-1,88	5,74	0,00	0,00
SL1344_4459	1,05	7,04	0,09	0,20
SL1344_P2_0103	-0,66	6,44	0,37	0,54
STsORF30	-0,44	6,28	0,43	0,59
SL1344_0083	3,33	9,36	0,00	0,00
SL1344_0849	-6,05	3,86	0,04	0,11
SL1344_0956	-1,35	7,19	0,00	0,00
SL1344_1260	1,15	4,79	0,13	0,27
SL1344_1816	0,77	8,82	0,03	0,10
SL1344_2658	-1,47	5,77	0,11	0,23
SL1344_2732	-0,84	5,83	0,11	0,24
SL1344_2884	1,29	8,09	0,02	0,06
SL1344_3077	-0,28	5,41	0,65	0,78
SL1344_3394	-0,75	10,66	0,00	0,02
SL1344_3614	-1,00	5,62	0,21	0,37
SL1344_3761	-1,46	5,49	0,03	0,09
SL1344_3980	0,35	6,16	0,84	0,91
SL1344_P1_0078	-0,06	7,06	0,93	0,96
SL1344_1109	-3,99	5,46	0,00	0,00
SL1344_3270	-1,40	7,50	0,00	0,00
SL1344_3280	-1,93	5,73	0,01	0,03
SL1344_3739	-5,00	3,38	0,20	0,36
SL1344_4028	4,37	6,84	0,00	0,00
SL1344_4253	0,46	6,06	0,39	0,56
SL1344_4266	0,09	9,67	0,71	0,82
SL1344_P1_0013	-3,23	3,59	0,49	0,66
STsORF66	2,06	6,54	0,00	0,00
SL1344_1669	-0,18	5,98	0,70	0,82
SL1344_2705	1,25	3,17	0,53	0,69
SL1344_2916	2,18	4,41	0,01	0,02
SL1344_3281	-0,19	6,76	0,60	0,74
SL1344_3358	-1,10	8,31	0,00	0,00
SL1344_P2_0054A	0,10	14,05	0,73	0,83
SL1344_P1_0082	-0,50	5,54	0,69	0,81
STsORF59	2,99	6,94	0,00	0,00
SL1344_1464	2,66	4,25	0,00	0,02
SL1344_1630	1,48	6,36	0,00	0,01
SL1344_1922	0,37	4,80	0,83	0,90
SL1344_2753	-4,69	3,82	0,20	0,36
SL1344_3064	-8,22	4,75	0,00	0,00
SL1344_3169	-0,74	5,01	0,36	0,53
SL1344_3203	-1,30	6,17	0,02	0,05
SL1344_0002	-0,89	8,61	0,00	0,01
SL1344_0003	2,29	8,95	0,00	0,00
SL1344_0004	1,32	9,49	0,00	0,00
SL1344_0005	1,30	6,39	0,01	0,03
SL1344_0006	1,82	7,47	0,00	0,00
SL1344_0007	-1,22	9,19	0,00	0,00
SL1344_0008	-1,42	6,14	0,01	0,03
SL1344_0009	-0,36	4,67	0,67	0,79
SL1344_0011	1,05	3,32	0,40	0,57
SL1344_0012	0,17	8,81	0,53	0,69
SL1344_0013	-0,36	6,43	0,46	0,63
SL1344_0014	-5,69	3,85	0,08	0,18
SL1344_0016	-3,75	3,70	0,40	0,57
SL1344_0018	-0,89	7,17	0,33	0,50
SL1344_0019	-0,70	5,71	0,44	0,61
SL1344_0020	1,68	3,45	0,42	0,58
SL1344_0021	-3,95	3,59	0,34	0,51
SL1344_0023	0,95	4,09	0,42	0,58
SL1344_0024	-0,24	3,49	0,89	0,94
SL1344_0028	0,56	4,76	0,56	0,71
SL1344_0029	-1,68	4,14	0,26	0,43
SL1344_0031	-3,68	3,44	0,38	0,55
SL1344_0033	1,26	4,71	0,17	0,32
SL1344_0034	-1,04	5,09	0,38	0,55
SL1344_0036	-0,37	5,51	0,79	0,87
SL1344_0037	0,29	4,72	0,79	0,87
SL1344_0038	-4,90	4,23	0,18	0,33
SL1344_0039	0,11	5,55	0,91	0,95
SL1344_0040	-1,24	8,83	0,00	0,00
SL1344_0041	-1,82	7,88	0,00	0,00
SL1344_0042	0,49	4,49	0,70	0,82
SL1344_0046	-0,44	7,80	0,15	0,29
SL1344_0047	-0,34	9,84	0,13	0,26
SL1344_0048	-0,16	7,76	0,64	0,78
SL1344_0049	-1,32	5,84	0,09	0,21
SL1344_0050	0,48	7,59	0,16	0,31
SL1344_0051	-0,34	5,65	0,58	0,73
SL1344_0052	-1,04	5,84	0,16	0,30
SL1344_0053	0,88	3,89	0,55	0,70
SL1344_0054	3,12	4,71	0,00	0,01
SL1344_0059	-2,71	3,58	0,56	0,71
SL1344_0061	-2,79	3,40	0,55	0,71
SL1344_0062	-3,22	4,13	0,46	0,63
