locus tag	logFC	logCPM	PValue	FDR
STsORF61	0,99	3,11	0,28	0,34
STsORF244	0,06	4,46	0,90	0,92
STsORF221	-0,29	3,89	0,66	0,71
STsORF52	-1,13	4,18	0,03	0,06
STsORF73	4,26	10,48	0,00	0,00
STsORF177	-0,11	3,23	0,90	0,92
STsORF80	0,28	10,65	0,76	0,80
STsORF222	3,79	5,64	0,00	0,00
STsORF157	0,49	3,71	0,48	0,55
STsORF160	-0,28	6,07	0,45	0,52
STsORF166	3,55	3,62	0,00	0,00
STsORF199	-0,95	3,30	0,21	0,27
STsORF232	0,03	2,77	0,98	0,99
STsORF4	3,05	4,77	0,00	0,00
STsORF24	-0,82	2,96	0,29	0,36
STsORF36	0,12	5,62	0,72	0,76
STsORF62	3,27	4,15	0,00	0,00
STsORF84	-2,21	3,29	0,00	0,01
STsORF129	-2,49	7,62	0,00	0,00
STsORF178	4,82	4,34	0,00	0,00
STsORF204	-0,91	4,04	0,11	0,16
STsORF214	6,79	5,02	0,00	0,00
STsORF246	3,52	5,96	0,00	0,00
STsORF47	0,47	4,33	0,38	0,45
STsORF139	6,57	3,87	0,00	0,00
STsORF229	-0,35	5,34	0,33	0,40
STsORF241	-0,56	7,49	0,05	0,08
STsORF247	-3,32	6,45	0,00	0,00
STsORF15	3,48	3,93	0,00	0,00
STsORF64	0,39	5,90	0,31	0,38
STsORF128	-0,05	3,51	0,93	0,95
STsORF208	0,13	3,67	0,85	0,88
STsORF126	0,06	3,99	0,92	0,94
STsORF141	-2,65	4,53	0,00	0,00
STsORF176	-1,53	3,28	0,02	0,04
STsORF195	0,83	3,67	0,25	0,31
STsORF77	-0,22	4,68	0,60	0,66
STsORF95	3,33	4,55	0,00	0,00
STsORF167	-0,62	3,78	0,32	0,39
STsORF196	-1,04	4,87	0,01	0,02
SL1344_2548	1,06	2,96	0,28	0,35
STsORF144	1,87	3,66	0,04	0,06
STsORF225	1,97	2,79	0,13	0,18
STsORF56	6,17	3,60	0,00	0,00
STsORF183	2,17	3,69	0,01	0,02
STsORF53	-1,25	4,40	0,01	0,02
STsORF117	0,37	4,78	0,45	0,52
STsORF120	2,85	6,26	0,00	0,00
STsORF122	2,04	2,36	0,28	0,34
STsORF18	0,60	4,65	0,20	0,26
STsORF41	-1,77	4,09	0,00	0,00
STsORF68	4,06	9,51	0,00	0,00
STsORF94	4,28	4,19	0,00	0,00
STsORF233	-3,42	10,31	0,00	0,00
SL1344_P1_0100	-0,30	7,47	0,23	0,30
STsORF23	5,35	4,40	0,00	0,00
STsORF48	0,55	6,58	0,05	0,08
STsORF124	-2,69	5,34	0,00	0,00
STsORF150	-1,25	4,47	0,01	0,01
STsORF203	0,32	5,41	0,47	0,54
STsORF224	0,27	4,17	0,63	0,68
STsORF228	-1,50	4,76	0,00	0,00
STsORF16	1,09	3,56	0,20	0,26
STsORF22	2,04	3,00	0,12	0,17
STsORF90	1,22	3,05	0,38	0,45
STsORF119	0,81	4,49	0,14	0,19
STsORF220	3,66	6,01	0,00	0,00
SL1344_0463	3,70	8,72	0,00	0,00
STsORF91	2,39	4,87	0,00	0,01
STsORF134	-2,50	6,87	0,00	0,01
STsORF174	-5,06	6,73	0,00	0,00
SL1344_0001	-1,53	10,11	0,00	0,00
SL1344_0114	-1,28	9,86	0,00	0,00
STsORF138	-0,14	6,97	0,73	0,78
STsORF212	5,16	6,55	0,00	0,00
STsORF250	3,13	3,10	0,01	0,02
SL1344_1722	0,03	3,20	0,97	0,98
SL1344_P2_0001	1,04	7,04	0,00	0,00
STsORF169	-0,21	4,55	0,62	0,68
STsORF185	0,36	4,95	0,46	0,53
STsORF235	-0,21	6,21	0,51	0,57
STsORF49	-1,88	7,80	0,00	0,00
STsORF67	4,53	8,54	0,00	0,00
STsORF85	1,27	4,10	0,03	0,05
STsORF106	-0,63	8,10	0,01	0,01
STsORF109	6,19	3,57	0,00	0,00
STsORF17	-0,10	5,05	0,82	0,85
STsORF69	-0,65	5,43	0,11	0,15
STsORF86	-0,41	6,90	0,16	0,22
STsORF88	0,23	5,91	0,44	0,51
STsORF145	2,44	5,68	0,00	0,00
SL1344_3763	0,22	9,45	0,56	0,62
STsORF25	-0,87	3,83	0,15	0,21
STsORF105	0,01	4,83	0,99	0,99
STsORF164	-2,33	4,51	0,00	0,00
STsORF236	6,08	5,67	0,00	0,00
