locus tag	logFC	logCPM	PValue	FDR
SL1344_0354	-1,79	4,97	0,00	0,00
SL1344_4392	-0,19	3,38	0,78	0,82
STsORF39	-2,58	5,38	0,00	0,00
STsORF55	-1,87	3,54	0,02	0,04
STsORF63	-1,04	9,90	0,00	0,00
STsORF237	0,18	5,57	0,64	0,69
STsORF11	1,50	3,64	0,05	0,08
STsORF42	-0,99	4,25	0,10	0,15
STsORF72	4,37	6,82	0,00	0,00
STsORF135	-0,02	3,84	0,97	0,98
STsORF197	-0,69	4,70	0,10	0,15
STsORF242	0,47	4,96	0,25	0,32
SL1344_0724	-1,18	6,13	0,00	0,01
SL1344_3386	0,87	9,36	0,01	0,01
STsORF130	-0,78	3,04	0,30	0,37
STsORF198	-1,64	4,45	0,00	0,00
SL1344_4408	-0,79	6,26	0,01	0,02
STsORF82	1,51	4,18	0,02	0,04
STsORF143	0,88	4,43	0,18	0,24
STsORF70	1,17	7,74	0,00	0,00
STsORF156	1,58	10,00	0,01	0,01
STsORF44	0,21	9,16	0,35	0,43
STsORF89	3,63	7,92	0,00	0,00
STsORF179	-4,09	10,97	0,00	0,00
SL1344_0696	4,40	2,97	0,01	0,02
SL1344_3063	-0,04	5,08	0,92	0,94
SL1344_3209	0,73	3,83	0,35	0,42
SL1344_P2_0054	-1,89	10,90	0,00	0,00
STsORF57	3,88	5,57	0,00	0,00
SL1344_0709	0,18	5,43	0,62	0,68
SL1344_1738	0,02	5,27	0,97	0,98
STsORF19	0,09	4,13	0,88	0,91
STsORF190	3,31	6,98	0,00	0,00
SL1344_4526	0,61	3,96	0,33	0,40
STsORF40	-1,22	6,71	0,00	0,00
STsORF45	1,53	3,93	0,05	0,08
SL1344_1495	-1,14	6,67	0,00	0,00
SL1344_1767	-1,76	10,35	0,00	0,00
SL1344_1769	-0,16	8,30	0,55	0,61
STsORF115	-2,96	7,45	0,00	0,00
SL1344_4212	-1,00	3,53	0,16	0,21
SL1344_4273	-3,65	9,68	0,00	0,00
SL1344_0757	-2,22	7,81	0,00	0,00
SL1344_1203	1,29	4,04	0,04	0,06
SL1344_3134	-0,45	7,59	0,08	0,12
STsORF7	-3,46	9,53	0,00	0,00
STsORF162	-1,48	4,44	0,00	0,01
STsORF58	1,83	4,05	0,01	0,01
STsORF121	0,74	3,49	0,38	0,46
STsORF209	1,13	3,48	0,12	0,17
SL1344_1579	-0,37	3,79	0,57	0,63
STsORF83	0,01	5,11	0,98	0,98
STsORF113	-0,63	3,27	0,40	0,47
SL1344_1794	3,02	7,99	0,00	0,00
SL1344_2780	-0,21	5,59	0,53	0,60
STsORF51	-0,79	6,39	0,01	0,02
STsORF223	-0,09	3,87	0,86	0,89
SL1344_1927	3,06	5,14	0,00	0,00
STsORF248	-2,54	7,08	0,00	0,00
SL1344_1783	2,36	9,51	0,00	0,00
SL1344_3360	0,92	5,29	0,03	0,05
SL1344_4452	4,25	7,73	0,00	0,00
STsORF191	0,86	3,87	0,26	0,33
SL1344_0473	0,93	3,63	0,22	0,28
SL1344_1006	-0,20	7,66	0,41	0,48
SL1344_1059	2,84	5,95	0,00	0,00
SL1344_1802	-1,14	4,65	0,01	0,03
SL1344_1989	0,85	4,88	0,04	0,07
SL1344_3438	1,08	4,99	0,01	0,02
SL1344_3693	-0,06	8,47	0,87	0,90
STsORF14	1,26	4,67	0,01	0,01
STsORF43	0,26	6,82	0,43	0,50
SL1344_1031	0,25	3,74	0,75	0,79
SL1344_3447	-0,81	4,26	0,11	0,16
STsORF158	-2,07	2,72	0,05	0,08
SL1344_1128	-0,64	9,69	0,00	0,01
SL1344_1737	-0,56	5,26	0,13	0,18
STsORF101	-0,44	7,42	0,09	0,13
STsORF202	0,53	3,37	0,49	0,56
SL1344_2257	-0,60	4,65	0,22	0,28
SL1344_4272	0,96	4,43	0,07	0,10
STsORF187	1,25	3,62	0,11	0,15
SL1344_1629	1,57	3,47	0,10	0,14
SL1344_1752	-0,18	6,35	0,49	0,56
SL1344_3389	1,38	9,45	0,00	0,00
STsORF100	-1,13	6,28	0,00	0,00
STsORF107	2,57	4,81	0,00	0,00
STsORF168	2,31	6,34	0,00	0,00
SL1344_0924	0,20	5,62	0,51	0,57
SL1344_1207	0,59	4,88	0,25	0,31
SL1344_1443	-1,30	4,52	0,01	0,02
SL1344_1659	0,82	4,69	0,12	0,17
SL1344_1797	3,25	7,63	0,00	0,00
STsORF93	-0,57	3,92	0,34	0,42
STsORF123	-1,23	2,85	0,16	0,21
SL1344_1209	-1,98	5,25	0,00	0,00
SL1344_1916	-0,18	6,27	0,54	0,61
SL1344_2806	-1,80	8,51	0,00	0,00
STsORF153	3,08	6,26	0,00	0,00
SL1344_1301	-0,42	7,24	0,15	0,20
SL1344_2700	5,20	7,11	0,00	0,00
SL1344_4097	4,16	4,16	0,00	0,00
STsORF31	-0,35	4,53	0,42	0,49
STsORF155	1,60	4,70	0,00	0,00
SL1344_0138	-1,38	4,66	0,00	0,00
SL1344_0384	-0,64	7,40	0,01	0,02
SL1344_0996	0,72	3,76	0,30	0,37
SL1344_1280	-1,00	6,97	0,00	0,00
SL1344_1575	-0,09	5,67	0,82	0,86
SL1344_1781	0,05	4,59	0,91	0,93
SL1344_2468	0,15	6,39	0,59	0,65
SL1344_2585	-1,89	5,33	0,00	0,00
SL1344_3399	1,96	11,35	0,00	0,00
SL1344_3588	-1,43	4,28	0,00	0,01
STsORF46	5,73	3,49	0,00	0,00
STsORF127	1,31	4,52	0,01	0,03
SL1344_0350	1,58	3,33	0,06	0,10
SL1344_0624	0,01	7,94	0,98	0,99
SL1344_1912	-0,98	6,23	0,00	0,01
SL1344_3411	0,01	8,53	0,96	0,97
STsORF186	3,42	4,50	0,00	0,00
SL1344_0589	1,51	6,19	0,00	0,00
SL1344_1269	-0,16	9,62	0,48	0,55
SL1344_4180	5,57	6,84	0,00	0,00
STsORF74	3,65	10,53	0,00	0,00
STsORF240	0,86	4,39	0,10	0,14
SL1344_1792	3,23	3,97	0,00	0,00
SL1344_1799	2,58	11,17	0,01	0,01
SL1344_1946	1,24	3,38	0,22	0,28
SL1344_2447	0,34	5,72	0,34	0,41
SL1344_2499	0,02	7,41	0,94	0,95
SL1344_3423	1,09	6,65	0,00	0,01
SL1344_3615	-2,74	12,57	0,00	0,00
STsORF112	-0,20	3,38	0,77	0,82
SL1344_0620	1,68	7,47	0,00	0,00
SL1344_1439	0,70	4,18	0,20	0,26
SL1344_2673	4,03	3,49	0,00	0,00
SL1344_3338	0,99	4,18	0,08	0,12
SL1344_3586	-0,15	5,04	0,71	0,76
SL1344_3900	-1,28	6,59	0,00	0,00
SL1344_4462	0,29	4,51	0,56	0,62
SL1344_P2_0018	1,40	5,62	0,00	0,00
SL1344_0689	3,42	7,26	0,00	0,00
SL1344_1330A	-0,12	4,37	0,80	0,84
SL1344_2595	1,64	4,67	0,00	0,01
SL1344_4323	-1,19	5,90	0,00	0,00
SL1344_4339	-1,13	10,01	0,00	0,00
SL1344_P3_0005	4,87	9,34	0,00	0,00
SL1344_1766	-1,73	10,53	0,00	0,00
SL1344_3170	-0,18	5,60	0,65	0,71
SL1344_3653	0,65	3,32	0,40	0,47
SL1344_P1_0085	1,95	4,59	0,00	0,00
STsORF60	4,00	2,76	0,03	0,04
STsORF215	0,66	3,77	0,33	0,40
SL1344_0534	-0,02	5,70	0,94	0,95
SL1344_0617	-2,45	12,02	0,00	0,00
SL1344_1182	1,00	4,80	0,07	0,11
SL1344_1322	-0,32	5,70	0,33	0,40
SL1344_1635	-1,13	6,28	0,00	0,00
SL1344_1924	-2,48	9,69	0,00	0,00
SL1344_4045	-1,32	8,79	0,00	0,00
SL1344_4176	-1,33	8,79	0,00	0,00
SL1344_P3_0006	4,08	8,57	0,00	0,00
SL1344_P1_0092	3,33	6,25	0,00	0,00
SL1344_0045	-0,52	4,22	0,32	0,39
SL1344_0301	0,20	3,94	0,73	0,77
SL1344_0374	0,19	6,50	0,53	0,60
SL1344_1340	5,93	8,62	0,00	0,00
SL1344_1494	0,47	4,04	0,41	0,48
SL1344_3183	-1,08	10,56	0,00	0,00
SL1344_4249	-3,67	4,94	0,00	0,00
SL1344_P1_0015	2,58	4,08	0,00	0,00
STsORF75	0,78	5,50	0,08	0,12
STsORF76	1,11	4,32	0,04	0,07
SL1344_0239	-0,61	7,30	0,02	0,04
SL1344_0466	1,06	7,64	0,00	0,00
SL1344_0575	0,65	5,33	0,07	0,10
SL1344_0891	-1,32	9,31	0,00	0,00
SL1344_1617	7,37	7,37	0,00	0,00
SL1344_1637	0,68	6,35	0,02	0,03
SL1344_2645	0,42	3,96	0,48	0,55
SL1344_2665	1,02	3,76	0,13	0,18
SL1344_2985	-0,92	5,00	0,01	0,03
SL1344_3421	0,74	4,74	0,14	0,19
SL1344_3430	-0,67	5,46	0,06	0,09
SL1344_P1_0080	3,98	7,93	0,00	0,00
STsORF193	-1,32	7,94	0,00	0,00
SL1344_0882	1,44	6,97	0,00	0,00
SL1344_1516	1,26	4,66	0,02	0,03
SL1344_2480	0,72	4,95	0,11	0,16
SL1344_3365	0,65	4,69	0,16	0,22
SL1344_3427	0,19	3,59	0,78	0,82
SL1344_P2_0028	7,66	4,54	0,00	0,00
SL1344_P1_0048	6,68	3,81	0,00	0,00
STsORF219	0,45	6,24	0,12	0,17
STsORF245	1,71	3,93	0,01	0,02
SL1344_0343	3,98	4,00	0,00	0,00
SL1344_0357	0,33	3,64	0,62	0,67
SL1344_1125	1,22	4,00	0,05	0,08
SL1344_1619	8,35	8,56	0,00	0,00
SL1344_1878	-1,01	5,32	0,00	0,01
SL1344_3882	-1,99	4,92	0,00	0,00
SL1344_P3_0002	-1,50	7,63	0,05	0,08
SL1344_1057	-0,29	7,44	0,41	0,49
SL1344_1089	0,00	3,76	1,00	1,00
SL1344_1341	6,14	9,23	0,00	0,00
SL1344_1913	0,79	4,99	0,12	0,17
SL1344_2204	-2,34	6,69	0,00	0,00
SL1344_2389	0,33	4,34	0,54	0,61
SL1344_2549	2,68	6,01	0,00	0,00
SL1344_2703	3,78	2,53	0,04	0,06
SL1344_2963	-2,94	8,53	0,00	0,00
SL1344_3012	1,80	7,82	0,00	0,00
SL1344_3472	0,80	6,96	0,01	0,02
SL1344_3525	5,14	5,76	0,00	0,00
SL1344_4326	0,13	8,39	0,54	0,61
SL1344_0081	-1,76	3,69	0,00	0,01
SL1344_1393	-0,52	7,67	0,05	0,08
SL1344_1530A	4,06	8,73	0,00	0,00
SL1344_1533	6,45	7,17	0,00	0,00
SL1344_1698	-1,57	5,09	0,00	0,00
SL1344_1810	-1,13	4,16	0,02	0,03
SL1344_2438	-0,15	5,56	0,68	0,73
STsORF142	2,47	5,03	0,00	0,01
SL1344_0957	1,44	5,46	0,00	0,00
SL1344_1523	-0,23	4,96	0,53	0,60
SL1344_2584	3,09	6,31	0,00	0,00
SL1344_2699	4,88	6,85	0,00	0,00
SL1344_2714	-1,04	4,78	0,01	0,02
SL1344_3686	-0,34	5,59	0,34	0,42
SL1344_P2_0007	0,24	6,10	0,43	0,50
SL1344_1133	-1,31	10,95	0,00	0,00
SL1344_1311	-5,35	14,37	0,00	0,00
SL1344_1375	-0,61	4,09	0,24	0,31
SL1344_3474	-0,31	7,23	0,25	0,32
SL1344_3694	-1,86	9,38	0,00	0,00
SL1344_4483	2,51	7,71	0,00	0,00
SL1344_1180	1,15	7,57	0,00	0,00
SL1344_1310	1,20	5,67	0,00	0,00
SL1344_1370	0,52	3,66	0,48	0,55
SL1344_1770	-3,90	4,69	0,00	0,00
SL1344_1780	1,85	7,06	0,00	0,00
SL1344_2397	2,41	4,02	0,00	0,00
SL1344_2781	4,08	6,41	0,00	0,00
SL1344_3837	-2,16	9,72	0,00	0,00
SL1344_4037	-1,02	8,81	0,00	0,00
STsORF5	-0,06	6,53	0,84	0,87
STsORF188	-2,95	6,48	0,00	0,00
SL1344_0418	-0,21	5,66	0,49	0,56
SL1344_1254	1,67	4,80	0,00	0,00
SL1344_1330	5,13	8,12	0,00	0,00
SL1344_1927A	1,41	5,69	0,00	0,00
SL1344_1975	1,94	3,29	0,04	0,07
SL1344_2368	0,36	4,59	0,46	0,53
SL1344_2455	0,16	3,42	0,81	0,85
SL1344_2853	-6,56	8,37	0,00	0,00
SL1344_3354	-0,49	3,77	0,39	0,46
SL1344_3539	0,09	3,97	0,89	0,91
SL1344_4158	0,07	4,60	0,90	0,92
SL1344_4379	1,71	5,98	0,00	0,00
STsORF227	-1,18	6,45	0,00	0,00
SL1344_1099	3,77	7,53	0,00	0,00
SL1344_2162	-0,29	3,03	0,72	0,77
SL1344_2790	2,99	5,71	0,00	0,00
SL1344_3543	1,12	5,76	0,00	0,00
SL1344_P2_0024	3,49	6,36	0,00	0,00
SL1344_P2_0082	0,24	3,64	0,70	0,75
SL1344_P1_0026	1,17	3,69	0,08	0,11
SL1344_P1_0102	-1,16	9,05	0,01	0,01
STsORF81	2,04	5,73	0,00	0,00
STsORF172	-0,15	3,57	0,81	0,85
SL1344_0570	0,29	3,95	0,60	0,66
SL1344_1202	2,05	5,34	0,00	0,00
SL1344_1210	-2,26	6,96	0,00	0,00
SL1344_1342	7,00	9,32	0,00	0,00
SL1344_1480	1,63	7,11	0,00	0,00
SL1344_2583	1,88	6,91	0,00	0,00
SL1344_2649	-0,10	8,85	0,79	0,83
SL1344_2860	0,00	6,98	0,99	0,99
SL1344_3117	0,99	3,76	0,15	0,20
STsORF50	-1,76	6,06	0,00	0,00
SL1344_0781	-1,10	3,47	0,07	0,11
SL1344_1211	0,52	7,30	0,12	0,17
SL1344_1647	0,57	6,58	0,05	0,07
SL1344_3668	-0,60	6,75	0,03	0,05
STsORF116	-2,88	4,30	0,00	0,00
SL1344_0238	0,53	7,23	0,05	0,08
SL1344_1224A	-0,14	4,61	0,76	0,80
SL1344_1593	-0,60	6,73	0,03	0,05
SL1344_1603	0,57	4,54	0,20	0,26
SL1344_1725	0,58	4,72	0,30	0,36
SL1344_1985	-0,25	4,38	0,59	0,65
SL1344_2187	-0,65	4,01	0,24	0,30
SL1344_2248	-3,84	6,06	0,00	0,00
SL1344_3398	3,26	11,85	0,00	0,00
SL1344_3927	-0,39	8,66	0,08	0,12
SL1344_1098	0,58	5,88	0,07	0,11
SL1344_1151	2,93	8,69	0,00	0,00
SL1344_2271	-1,07	4,95	0,01	0,02
SL1344_2273	1,25	8,39	0,00	0,00
SL1344_2394	-0,68	8,81	0,00	0,01
SL1344_2935	1,46	5,69	0,00	0,00
SL1344_3275	0,45	10,07	0,03	0,06
SL1344_3367	0,29	5,49	0,43	0,50
SL1344_3808	-0,40	6,57	0,14	0,19
SL1344_4431	1,81	4,03	0,01	0,02
SL1344_0462	4,64	9,73	0,00	0,00
SL1344_0799	1,53	4,47	0,00	0,01
SL1344_0949	-0,81	3,38	0,23	0,29
SL1344_2538	3,15	6,56	0,00	0,00
SL1344_2868	-2,88	6,30	0,00	0,00
SL1344_3484	2,72	8,00	0,00	0,00
SL1344_3862	-3,74	6,29	0,00	0,00
STsORF163	-1,60	5,79	0,00	0,00
SL1344_0044	-1,60	11,29	0,00	0,00
SL1344_0286A	3,48	6,23	0,00	0,00
SL1344_0848	-2,42	8,53	0,00	0,00
SL1344_0979	1,11	3,44	0,19	0,25
SL1344_1183	5,04	6,13	0,00	0,00
SL1344_1527	0,63	5,97	0,07	0,11
SL1344_2230	4,25	3,60	0,00	0,00
SL1344_3333	-0,49	4,12	0,31	0,38
SL1344_P1_0071	0,20	5,30	0,59	0,65
SL1344_0378	0,44	7,56	0,22	0,28
SL1344_0800	0,65	4,44	0,23	0,30
SL1344_1354	6,70	8,16	0,00	0,00
SL1344_1744	-1,54	6,27	0,00	0,00
SL1344_2750	0,59	3,76	0,44	0,51
SL1344_3023	-0,89	6,92	0,00	0,00
SL1344_3334	-0,92	4,52	0,03	0,05
SL1344_4020	2,27	4,02	0,01	0,01
SL1344_4239	-2,08	3,59	0,00	0,00
SL1344_P2_0043	2,69	3,54	0,00	0,00
SL1344_1331	6,61	9,91	0,00	0,00
SL1344_1909	-2,93	4,60	0,00	0,00
SL1344_3256	-0,97	10,21	0,01	0,01
SL1344_3378	1,80	6,08	0,00	0,00
SL1344_3745	1,47	3,55	0,07	0,10
SL1344_3943	-1,60	6,29	0,00	0,00
SL1344_4248	-2,91	3,84	0,00	0,00
SL1344_P2_0003	4,05	8,12	0,00	0,00
SL1344_P2_0008	2,38	4,97	0,00	0,00
STsORF132	4,19	7,54	0,00	0,00
SL1344_0329	-0,85	3,44	0,18	0,24
SL1344_0445	-2,64	10,51	0,00	0,00
SL1344_1186	2,18	6,80	0,00	0,00
SL1344_2312	2,08	7,70	0,00	0,00
SL1344_2836	-0,16	5,65	0,72	0,77
SL1344_3001	3,16	7,55	0,00	0,00
SL1344_3296	-0,78	4,92	0,11	0,16
SL1344_3335	0,67	4,49	0,24	0,31
SL1344_3538	0,36	4,63	0,48	0,55
SL1344_4109	-3,75	11,75	0,00	0,00
SL1344_4129	-1,36	5,31	0,00	0,00
SL1344_0361	-0,35	5,52	0,34	0,41
SL1344_1235	-2,31	4,35	0,00	0,00
SL1344_1558	1,11	5,83	0,00	0,00
SL1344_2349	-0,77	5,83	0,01	0,02
SL1344_2936	1,16	7,12	0,00	0,00
SL1344_3086	-0,01	5,89	0,96	0,97
SL1344_3483	3,73	7,97	0,00	0,00
SL1344_3707	-0,79	8,24	0,00	0,00
SL1344_4322	2,94	3,75	0,00	0,00
STsORF108	1,28	5,19	0,02	0,03
SL1344_1227	0,48	6,12	0,16	0,22
SL1344_1710	3,75	4,99	0,00	0,00
SL1344_3403	1,78	10,63	0,00	0,00
SL1344_0677	-1,26	5,31	0,00	0,00
SL1344_0725	-1,43	6,54	0,00	0,00
SL1344_1023	1,66	4,05	0,01	0,03
SL1344_1998	-1,31	3,51	0,03	0,06
SL1344_2130	1,78	3,58	0,04	0,06
SL1344_2586	0,17	3,24	0,82	0,85
SL1344_3870	-1,19	5,47	0,00	0,00
SL1344_4199	1,11	7,03	0,00	0,00
SL1344_P2_0004	4,80	7,48	0,00	0,00
SL1344_0155	-2,15	3,47	0,00	0,00
SL1344_0386	-1,22	6,63	0,00	0,00
SL1344_0919	0,69	8,11	0,00	0,01
SL1344_1415	2,47	8,98	0,00	0,00
SL1344_1479	2,64	5,57	0,00	0,00
SL1344_2201	0,49	8,73	0,25	0,32
SL1344_2359	0,59	6,96	0,05	0,07
SL1344_2599	0,55	3,05	0,53	0,60
SL1344_2733	3,54	5,26	0,00	0,00
SL1344_4380	2,46	5,97	0,00	0,00
SL1344_P2_0053	-1,63	11,72	0,00	0,00
SL1344_P3_0011	5,41	7,83	0,00	0,00
SL1344_P1_0104	0,19	5,49	0,59	0,65
STsORF125	0,50	7,73	0,05	0,07
SL1344_1768	0,45	8,44	0,06	0,09
SL1344_3125	1,67	5,32	0,00	0,00
SL1344_3278	3,77	5,71	0,00	0,00
SL1344_3293	-0,91	7,34	0,00	0,00
SL1344_3416	0,46	6,03	0,16	0,22
SL1344_3618	3,92	7,60	0,00	0,00
SL1344_3749	1,27	4,67	0,06	0,09
SL1344_4250	-4,85	5,74	0,00	0,00
SL1344_4459	3,94	7,04	0,00	0,00
SL1344_P2_0103	2,34	6,44	0,00	0,00
STsORF30	0,79	6,28	0,01	0,02
SL1344_0083	3,31	9,36	0,00	0,00
SL1344_0849	-0,61	3,86	0,26	0,33
SL1344_0956	-3,61	7,19	0,00	0,00
SL1344_1260	0,27	4,79	0,54	0,61
SL1344_1816	4,22	8,82	0,00	0,00
SL1344_2658	1,03	5,77	0,00	0,01
SL1344_2732	-1,11	5,83	0,00	0,00
SL1344_2884	4,21	8,09	0,00	0,00
SL1344_3077	-1,02	5,41	0,01	0,01
SL1344_3394	0,46	10,66	0,06	0,09
SL1344_3614	-0,32	5,62	0,36	0,43
SL1344_3761	-1,57	5,49	0,00	0,00
SL1344_3980	5,39	6,16	0,00	0,00
SL1344_P1_0078	3,35	7,06	0,00	0,00
SL1344_1109	-4,34	5,46	0,00	0,00
SL1344_3270	-1,58	7,50	0,00	0,00
SL1344_3280	-0,91	5,73	0,01	0,01
SL1344_3739	-1,50	3,38	0,07	0,11
SL1344_4028	1,14	6,84	0,01	0,01
SL1344_4253	0,72	6,06	0,02	0,04
SL1344_4266	-2,27	9,67	0,00	0,00
SL1344_P1_0013	2,62	3,59	0,00	0,01
STsORF66	1,49	6,54	0,00	0,00
SL1344_1669	-1,60	5,98	0,00	0,00
SL1344_2705	1,30	3,17	0,16	0,22
SL1344_2916	-0,18	4,41	0,74	0,78
SL1344_3281	-0,79	6,76	0,00	0,01
SL1344_3358	0,51	8,31	0,02	0,04
SL1344_P2_0054A	-0,56	14,05	0,07	0,11
SL1344_P1_0082	2,61	5,54	0,00	0,00
STsORF59	0,49	6,94	0,11	0,15
SL1344_1464	0,67	4,25	0,30	0,37
SL1344_1630	0,23	6,36	0,48	0,55
SL1344_1922	3,54	4,80	0,00	0,00
SL1344_2753	1,50	3,82	0,02	0,04
SL1344_3064	-2,31	4,75	0,00	0,00
SL1344_3169	-0,02	5,01	0,96	0,97
SL1344_3203	-1,40	6,17	0,00	0,00
SL1344_0002	0,02	8,61	0,92	0,94
SL1344_0003	0,72	8,95	0,00	0,00
SL1344_0004	0,46	9,49	0,04	0,07
SL1344_0005	0,86	6,39	0,01	0,02
SL1344_0006	1,18	7,47	0,00	0,00
SL1344_0007	-1,76	9,19	0,00	0,00
SL1344_0008	-1,20	6,14	0,00	0,00
SL1344_0009	0,20	4,67	0,62	0,68
SL1344_0011	-0,05	3,32	0,94	0,95
SL1344_0012	-0,27	8,81	0,27	0,33
SL1344_0013	0,10	6,43	0,70	0,75
SL1344_0014	0,16	3,85	0,79	0,82
SL1344_0016	2,53	3,70	0,00	0,01
SL1344_0018	3,83	7,17	0,00	0,00
SL1344_0019	2,08	5,71	0,00	0,00
SL1344_0020	3,14	3,45	0,00	0,00
SL1344_0021	2,08	3,59	0,01	0,01
SL1344_0023	1,42	4,09	0,02	0,03
SL1344_0024	1,01	3,49	0,18	0,24
SL1344_0028	1,01	4,76	0,04	0,06
SL1344_0029	0,11	4,14	0,84	0,88
SL1344_0031	2,11	3,44	0,01	0,02
SL1344_0033	1,93	4,71	0,00	0,00
SL1344_0034	1,36	5,09	0,00	0,01
SL1344_0036	1,99	5,51	0,00	0,00
SL1344_0037	0,93	4,72	0,07	0,11
SL1344_0038	1,91	4,23	0,00	0,00
SL1344_0039	1,43	5,55	0,00	0,00
SL1344_0040	0,86	8,83	0,00	0,00
SL1344_0041	1,10	7,88	0,00	0,00
SL1344_0042	2,04	4,49	0,00	0,00
SL1344_0046	0,21	7,80	0,32	0,39
SL1344_0047	0,00	9,84	0,99	0,99
SL1344_0048	0,08	7,76	0,74	0,78
SL1344_0049	0,24	5,84	0,46	0,53
SL1344_0050	0,10	7,59	0,69	0,74
SL1344_0051	0,61	5,65	0,06	0,09
SL1344_0052	0,92	5,84	0,00	0,01
SL1344_0053	0,57	3,89	0,45	0,52
SL1344_0054	2,09	4,71	0,00	0,00
SL1344_0059	3,36	3,58	0,00	0,00
SL1344_0061	3,07	3,40	0,00	0,00
SL1344_0062	3,55	4,13	0,00	0,00
SL1344_0063	2,53	3,49	0,01	0,01
SL1344_0064	1,25	3,81	0,06	0,09
SL1344_0065	-1,00	7,01	0,00	0,00
