locus tag	logFC	logCPM	PValue	FDR
STsORF22	3,60	3,00	0,02	0,06
STsORF90	3,15	3,05	0,07	0,15
STsORF119	-0,03	4,49	0,97	0,98
STsORF220	3,42	6,01	0,00	0,00
SL1344_0463	6,47	8,72	0,00	0,00
STsORF91	3,37	4,87	0,00	0,00
STsORF134	-0,23	6,87	0,75	0,84
STsORF174	-2,47	6,73	0,00	0,00
SL1344_0001	-1,52	10,11	0,00	0,00
SL1344_0114	-0,65	9,86	0,07	0,15
STsORF138	-1,12	6,97	0,06	0,14
STsORF212	6,63	6,55	0,00	0,00
STsORF250	1,61	3,10	0,46	0,60
SL1344_1722	0,17	3,20	0,91	0,95
SL1344_P2_0001	-1,11	7,04	0,02	0,05
STsORF169	0,41	4,55	0,47	0,61
STsORF185	1,27	4,95	0,05	0,12
STsORF235	0,08	6,21	0,85	0,92
STsORF49	-1,15	7,80	0,00	0,00
STsORF67	6,40	8,54	0,00	0,00
STsORF85	-0,95	4,10	0,42	0,57
STsORF106	1,56	8,10	0,00	0,00
STsORF109	3,53	3,57	0,15	0,27
STsORF17	0,45	5,05	0,43	0,58
STsORF69	-0,16	5,43	0,78	0,86
STsORF86	0,84	6,90	0,02	0,05
STsORF88	-1,66	5,91	0,00	0,01
STsORF145	1,94	5,68	0,00	0,01
SL1344_3763	1,83	9,45	0,00	0,00
STsORF25	-0,98	3,83	0,35	0,50
STsORF105	0,96	4,83	0,12	0,24
STsORF164	-1,78	4,51	0,01	0,04
STsORF236	8,22	5,67	0,00	0,00
SL1344_0354	-1,21	4,97	0,06	0,14
SL1344_4392	-1,79	3,38	0,23	0,37
STsORF39	-2,16	5,38	0,00	0,00
STsORF55	-0,03	3,54	0,98	0,99
STsORF63	-0,30	9,90	0,28	0,43
STsORF237	0,98	5,57	0,05	0,12
STsORF11	-4,08	3,64	0,17	0,30
STsORF42	0,13	4,25	0,88	0,93
STsORF72	6,66	6,82	0,00	0,00
STsORF135	1,03	3,84	0,24	0,38
STsORF197	-0,44	4,70	0,50	0,64
STsORF242	-2,26	4,96	0,01	0,04
SL1344_0724	0,65	6,13	0,15	0,27
SL1344_3386	0,22	9,36	0,48	0,62
STsORF130	-0,16	3,04	0,89	0,94
STsORF198	0,44	4,45	0,45	0,60
SL1344_4408	-0,37	6,26	0,35	0,51
STsORF82	1,83	4,18	0,05	0,11
STsORF143	2,68	4,43	0,00	0,00
STsORF70	1,08	7,74	0,00	0,00
STsORF156	-0,34	10,00	0,51	0,65
STsORF44	1,05	9,16	0,00	0,00
STsORF89	5,78	7,92	0,00	0,00
STsORF179	-3,62	10,97	0,00	0,00
SL1344_0696	3,44	2,97	0,17	0,29
SL1344_3063	-0,97	5,08	0,13	0,24
SL1344_3209	1,47	3,83	0,18	0,31
SL1344_P2_0054	-0,97	10,90	0,00	0,00
STsORF57	3,68	5,57	0,00	0,00
SL1344_0709	0,27	5,43	0,60	0,73
SL1344_1738	0,54	5,27	0,33	0,48
STsORF19	0,83	4,13	0,32	0,47
STsORF190	3,91	6,98	0,00	0,00
SL1344_4526	1,79	3,96	0,03	0,08
STsORF40	0,26	6,71	0,43	0,57
STsORF45	1,91	3,93	0,07	0,16
SL1344_1495	0,04	6,67	0,91	0,95
SL1344_1767	0,21	10,35	0,37	0,53
SL1344_1769	2,89	8,30	0,00	0,00
STsORF115	-0,92	7,45	0,04	0,10
SL1344_4212	0,93	3,53	0,28	0,43
SL1344_4273	-2,55	9,68	0,00	0,00
SL1344_0757	-1,09	7,81	0,10	0,19
SL1344_1203	-0,72	4,04	0,56	0,69
SL1344_3134	-1,90	7,59	0,00	0,00
STsORF7	-4,40	9,53	0,00	0,00
STsORF162	0,09	4,44	0,89	0,94
STsORF58	0,24	4,05	0,84	0,90
STsORF121	-0,73	3,49	0,68	0,79
STsORF209	-0,85	3,48	0,60	0,72
SL1344_1579	0,29	3,79	0,76	0,84
STsORF83	-0,24	5,11	0,68	0,79
STsORF113	-0,70	3,27	0,59	0,72
SL1344_1794	7,05	7,99	0,00	0,00
SL1344_2780	-1,30	5,59	0,03	0,07
STsORF51	-0,08	6,39	0,83	0,90
STsORF223	-2,64	3,87	0,04	0,10
SL1344_1927	-0,09	5,14	0,93	0,96
STsORF248	-0,69	7,08	0,05	0,11
SL1344_1783	6,19	9,51	0,00	0,00
SL1344_3360	0,26	5,29	0,67	0,78
SL1344_4452	7,50	7,73	0,00	0,00
STsORF191	1,47	3,87	0,18	0,31
SL1344_0473	0,01	3,63	0,99	1,00
SL1344_1006	-0,03	7,66	0,93	0,96
SL1344_1059	2,85	5,95	0,00	0,00
SL1344_1802	-0,48	4,65	0,48	0,62
SL1344_1989	0,42	4,88	0,51	0,65
SL1344_3438	0,62	4,99	0,34	0,49
SL1344_3693	-0,93	8,47	0,04	0,10
STsORF14	-0,47	4,67	0,58	0,71
STsORF43	1,03	6,82	0,01	0,04
SL1344_1031	2,21	3,74	0,02	0,06
SL1344_3447	-1,19	4,26	0,16	0,29
STsORF158	1,39	2,72	0,21	0,35
SL1344_1128	-0,88	9,69	0,00	0,00
SL1344_1737	-0,66	5,26	0,25	0,39
STsORF101	-0,92	7,42	0,01	0,02
STsORF202	-1,19	3,37	0,47	0,61
SL1344_2257	0,26	4,65	0,71	0,81
SL1344_4272	-1,64	4,43	0,15	0,28
STsORF187	-0,79	3,62	0,64	0,76
SL1344_1629	3,70	3,47	0,00	0,00
SL1344_1752	0,00	6,35	1,00	1,00
SL1344_3389	-0,64	9,45	0,04	0,09
STsORF100	-0,87	6,28	0,03	0,09
STsORF107	3,17	4,81	0,00	0,00
STsORF168	-1,40	6,34	0,03	0,09
SL1344_0924	-2,04	5,62	0,00	0,01
SL1344_1207	0,76	4,88	0,28	0,44
SL1344_1443	-0,26	4,52	0,70	0,80
SL1344_1659	1,15	4,69	0,13	0,24
SL1344_1797	5,03	7,63	0,00	0,00
STsORF93	0,15	3,92	0,87	0,92
STsORF123	0,39	2,85	0,75	0,84
SL1344_1209	-1,61	5,25	0,01	0,02
SL1344_1916	0,71	6,27	0,07	0,15
SL1344_2806	-0,22	8,51	0,35	0,50
STsORF153	3,51	6,26	0,00	0,00
SL1344_1301	-0,90	7,24	0,02	0,06
SL1344_2700	2,15	7,11	0,00	0,00
SL1344_4097	0,75	4,16	0,69	0,80
STsORF31	-1,35	4,53	0,09	0,19
STsORF155	0,53	4,70	0,53	0,66
SL1344_0138	-1,09	4,66	0,11	0,22
SL1344_0384	-0,63	7,40	0,04	0,10
SL1344_0996	-0,73	3,76	0,59	0,72
SL1344_1280	-1,88	6,97	0,00	0,00
SL1344_1575	1,92	5,67	0,00	0,00
SL1344_1781	0,29	4,59	0,69	0,79
SL1344_2468	0,11	6,39	0,77	0,85
SL1344_2585	-0,44	5,33	0,38	0,53
SL1344_3399	0,16	11,35	0,45	0,59
SL1344_3588	-0,25	4,28	0,70	0,80
STsORF46	3,53	3,49	0,15	0,27
STsORF127	0,07	4,52	0,94	0,97
SL1344_0350	2,35	3,33	0,04	0,10
SL1344_0624	0,01	7,94	0,97	0,98
SL1344_1912	-0,49	6,23	0,24	0,39
SL1344_3411	-0,53	8,53	0,04	0,10
STsORF186	0,47	4,50	0,74	0,83
SL1344_0589	3,02	6,19	0,00	0,00
SL1344_1269	-0,59	9,62	0,02	0,05
SL1344_4180	1,69	6,84	0,04	0,10
STsORF74	7,07	10,53	0,00	0,00
STsORF240	0,13	4,39	0,88	0,93
SL1344_1792	0,18	3,97	0,92	0,96
SL1344_1799	6,47	11,17	0,00	0,00
SL1344_1946	1,90	3,38	0,20	0,33
SL1344_2447	1,02	5,72	0,03	0,09
SL1344_2499	0,04	7,41	0,91	0,95
SL1344_3423	2,24	6,65	0,00	0,00
SL1344_3615	-1,68	12,57	0,00	0,00
STsORF112	-0,72	3,38	0,58	0,71
SL1344_0620	1,77	7,47	0,00	0,00
SL1344_1439	0,84	4,18	0,30	0,45
SL1344_2673	-1,94	3,49	0,54	0,67
SL1344_3338	-0,23	4,18	0,82	0,89
SL1344_3586	0,26	5,04	0,64	0,76
SL1344_3900	-1,36	6,59	0,00	0,00
SL1344_4462	1,07	4,51	0,12	0,23
SL1344_P2_0018	-2,30	5,62	0,01	0,03
SL1344_0689	1,84	7,26	0,00	0,00
SL1344_1330A	0,06	4,37	0,94	0,97
SL1344_2595	0,88	4,67	0,34	0,49
SL1344_4323	-2,22	5,90	0,00	0,00
SL1344_4339	0,34	10,01	0,17	0,30
SL1344_P3_0005	0,97	9,34	0,00	0,01
SL1344_1766	0,37	10,53	0,35	0,50
SL1344_3170	0,39	5,60	0,47	0,61
SL1344_3653	0,85	3,32	0,49	0,63
SL1344_P1_0085	-5,52	4,59	0,02	0,06
STsORF60	5,36	2,76	0,01	0,03
STsORF215	0,55	3,77	0,61	0,74
SL1344_0534	-1,25	5,70	0,02	0,05
SL1344_0617	-0,06	12,02	0,76	0,85
SL1344_1182	1,57	4,80	0,04	0,09
SL1344_1322	-1,04	5,70	0,05	0,11
SL1344_1635	-0,87	6,28	0,03	0,09
SL1344_1924	-1,68	9,69	0,00	0,00
SL1344_4045	-1,41	8,79	0,00	0,00
SL1344_4176	-2,98	8,79	0,00	0,00
SL1344_P3_0006	-0,17	8,57	0,62	0,74
SL1344_P1_0092	-0,89	6,25	0,27	0,42
SL1344_0045	-0,91	4,22	0,30	0,45
SL1344_0301	-1,58	3,94	0,18	0,31
SL1344_0374	1,15	6,50	0,00	0,01
SL1344_1340	7,12	8,62	0,00	0,00
SL1344_1494	-2,46	4,04	0,08	0,16
SL1344_3183	-1,60	10,56	0,00	0,00
SL1344_4249	-3,00	4,94	0,00	0,00
SL1344_P1_0015	-0,63	4,08	0,70	0,80
STsORF75	1,40	5,50	0,02	0,06
STsORF76	-0,53	4,32	0,60	0,73
SL1344_0239	-0,32	7,30	0,32	0,47
SL1344_0466	1,16	7,64	0,00	0,00
SL1344_0575	-0,11	5,33	0,84	0,90
SL1344_0891	-1,75	9,31	0,00	0,00
SL1344_1617	3,19	7,37	0,00	0,00
SL1344_1637	-2,96	6,35	0,00	0,00
SL1344_2645	-5,48	3,96	0,03	0,07
SL1344_2665	2,43	3,76	0,00	0,01
SL1344_2985	-2,92	5,00	0,00	0,00
SL1344_3421	-0,84	4,74	0,37	0,52
SL1344_3430	-0,48	5,46	0,35	0,50
SL1344_P1_0080	1,25	7,93	0,00	0,00
STsORF193	-2,41	7,94	0,00	0,00
SL1344_0882	2,33	6,97	0,00	0,00
SL1344_1516	0,99	4,66	0,21	0,35
SL1344_2480	0,96	4,95	0,13	0,24
SL1344_3365	-0,15	4,69	0,85	0,91
SL1344_3427	-1,42	3,59	0,37	0,52
SL1344_P2_0028	4,48	4,54	0,04	0,10
SL1344_P1_0048	3,58	3,81	0,16	0,28
STsORF219	-0,89	6,24	0,05	0,13
STsORF245	-1,07	3,93	0,50	0,64
SL1344_0343	1,74	4,00	0,29	0,44
SL1344_0357	-1,74	3,64	0,25	0,40
SL1344_1125	0,28	4,00	0,78	0,86
SL1344_1619	4,22	8,56	0,00	0,00
SL1344_1878	-1,67	5,32	0,00	0,01
SL1344_3882	-1,09	4,92	0,08	0,16
SL1344_P3_0002	-1,81	7,63	0,05	0,12
SL1344_1057	1,23	7,44	0,00	0,02
SL1344_1089	-0,99	3,76	0,39	0,55
SL1344_1341	7,34	9,23	0,00	0,00
SL1344_1913	2,09	4,99	0,00	0,01
SL1344_2204	-1,35	6,69	0,00	0,00
SL1344_2389	-0,32	4,34	0,73	0,82
SL1344_2549	5,83	6,01	0,00	0,00
SL1344_2703	3,84	2,53	0,14	0,25
SL1344_2963	-1,31	8,53	0,00	0,00
SL1344_3012	0,94	7,82	0,00	0,01
SL1344_3472	0,85	6,96	0,02	0,06
SL1344_3525	-0,35	5,76	0,82	0,89
SL1344_4326	-1,76	8,39	0,00	0,00
SL1344_0081	-1,20	3,69	0,18	0,31
SL1344_1393	1,30	7,67	0,00	0,00
SL1344_1530A	5,65	8,73	0,00	0,00
SL1344_1533	5,49	7,17	0,00	0,00
SL1344_1698	-0,38	5,09	0,55	0,68
SL1344_1810	-1,14	4,16	0,14	0,26
SL1344_2438	0,36	5,56	0,46	0,60
STsORF142	4,92	5,03	0,00	0,00
SL1344_0957	1,00	5,46	0,07	0,16
SL1344_1523	-2,34	4,96	0,00	0,01
SL1344_2584	1,04	6,31	0,06	0,13
SL1344_2699	1,50	6,85	0,02	0,05
SL1344_2714	-1,05	4,78	0,10	0,20
SL1344_3686	0,16	5,59	0,74	0,83
SL1344_P2_0007	-1,44	6,10	0,01	0,02
SL1344_1133	-0,56	10,95	0,02	0,05
SL1344_1311	-2,16	14,37	0,00	0,00
SL1344_1375	-3,05	4,09	0,02	0,05
SL1344_3474	1,35	7,23	0,00	0,00
SL1344_3694	-1,47	9,38	0,00	0,00
SL1344_4483	1,59	7,71	0,01	0,03
SL1344_1180	0,29	7,57	0,45	0,60
SL1344_1310	0,35	5,67	0,54	0,68
SL1344_1370	-0,05	3,66	0,97	0,98
SL1344_1770	-4,02	4,69	0,00	0,00
SL1344_1780	2,92	7,06	0,00	0,00
SL1344_2397	2,34	4,02	0,02	0,07
SL1344_2781	-0,87	6,41	0,35	0,50
SL1344_3837	0,64	9,72	0,01	0,03
SL1344_4037	-0,45	8,81	0,06	0,14
STsORF5	-0,33	6,53	0,42	0,57
STsORF188	-1,41	6,48	0,00	0,02
SL1344_0418	-0,23	5,66	0,60	0,73
SL1344_1254	0,89	4,80	0,21	0,35
SL1344_1330	6,44	8,12	0,00	0,00
SL1344_1927A	0,48	5,69	0,43	0,57
SL1344_1975	-3,38	3,29	0,31	0,46
SL1344_2368	0,29	4,59	0,68	0,79
SL1344_2455	-5,11	3,42	0,06	0,14
SL1344_2853	-2,57	8,37	0,00	0,00
SL1344_3354	-1,60	3,77	0,15	0,28
SL1344_3539	-1,73	3,97	0,16	0,29
SL1344_4158	1,40	4,60	0,06	0,14
SL1344_4379	0,48	5,98	0,32	0,48
STsORF227	-0,17	6,45	0,64	0,76
SL1344_1099	0,91	7,53	0,03	0,09
SL1344_2162	-1,21	3,03	0,46	0,60
SL1344_2790	2,24	5,71	0,00	0,00
SL1344_3543	-0,92	5,76	0,11	0,22
SL1344_P2_0024	0,40	6,36	0,55	0,68
SL1344_P2_0082	-1,70	3,64	0,24	0,38
SL1344_P1_0026	-1,39	3,69	0,37	0,52
SL1344_P1_0102	-0,77	9,05	0,07	0,15
STsORF81	-1,38	5,73	0,08	0,17
STsORF172	-0,41	3,57	0,71	0,81
SL1344_0570	0,38	3,95	0,65	0,76
SL1344_1202	1,47	5,34	0,03	0,08
SL1344_1210	-1,36	6,96	0,00	0,00
SL1344_1342	7,89	9,32	0,00	0,00
SL1344_1480	1,53	7,11	0,00	0,01
SL1344_2583	-0,11	6,91	0,84	0,91
SL1344_2649	-0,90	8,85	0,05	0,12
SL1344_2860	0,71	6,98	0,03	0,07
SL1344_3117	0,16	3,76	0,89	0,94
STsORF50	-0,24	6,06	0,56	0,69
SL1344_0781	-0,83	3,47	0,42	0,57
SL1344_1211	2,87	7,30	0,00	0,00
SL1344_1647	0,42	6,58	0,25	0,39
SL1344_3668	-0,33	6,75	0,35	0,50
STsORF116	-3,65	4,30	0,00	0,00
SL1344_0238	0,94	7,23	0,01	0,02
SL1344_1224A	-0,61	4,61	0,43	0,57
SL1344_1593	-0,68	6,73	0,06	0,13
SL1344_1603	-0,23	4,54	0,76	0,85
SL1344_1725	1,08	4,72	0,17	0,30
SL1344_1985	-1,44	4,38	0,11	0,22
SL1344_2187	0,25	4,01	0,74	0,83
SL1344_2248	-1,46	6,06	0,00	0,00
SL1344_3398	0,67	11,85	0,00	0,01
SL1344_3927	0,39	8,66	0,10	0,21
SL1344_1098	-0,73	5,88	0,17	0,30
SL1344_1151	0,99	8,69	0,01	0,04
SL1344_2271	-0,84	4,95	0,17	0,30
SL1344_2273	3,99	8,39	0,00	0,00
SL1344_2394	1,17	8,81	0,00	0,00
SL1344_2935	-0,16	5,69	0,79	0,87
SL1344_3275	-1,34	10,07	0,00	0,00
SL1344_3367	0,64	5,49	0,21	0,35
SL1344_3808	-1,53	6,57	0,00	0,00
SL1344_4431	0,51	4,03	0,67	0,78
SL1344_0462	7,30	9,73	0,00	0,00
SL1344_0799	-0,33	4,47	0,73	0,82
SL1344_0949	-0,38	3,38	0,71	0,81
SL1344_2538	0,37	6,56	0,51	0,65
SL1344_2868	-1,10	6,30	0,01	0,02
SL1344_3484	1,02	8,00	0,01	0,03
SL1344_3862	-3,02	6,29	0,00	0,00
STsORF163	-1,75	5,79	0,00	0,00
SL1344_0044	-1,62	11,29	0,00	0,00
SL1344_0286A	-0,08	6,23	0,92	0,96
SL1344_0848	-1,02	8,53	0,00	0,01
SL1344_0979	1,32	3,44	0,31	0,46
SL1344_1183	6,50	6,13	0,00	0,00
SL1344_1527	-0,77	5,97	0,18	0,30
SL1344_2230	-1,99	3,60	0,55	0,69
SL1344_3333	-6,71	4,12	0,00	0,00
SL1344_P1_0071	-0,54	5,30	0,37	0,52
SL1344_0378	3,41	7,56	0,00	0,00
SL1344_0800	1,56	4,44	0,04	0,10
SL1344_1354	8,12	8,16	0,00	0,00
SL1344_1744	-1,40	6,27	0,00	0,01
SL1344_2750	2,41	3,76	0,01	0,03
SL1344_3023	-0,90	6,92	0,01	0,03
SL1344_3334	-3,96	4,52	0,00	0,00
SL1344_4020	2,73	4,02	0,02	0,05
SL1344_4239	-6,90	3,59	0,00	0,01
SL1344_P2_0043	1,18	3,54	0,43	0,57
SL1344_1331	7,38	9,91	0,00	0,00
SL1344_1909	-1,62	4,60	0,01	0,02
SL1344_3256	-0,70	10,21	0,04	0,10
SL1344_3378	0,23	6,08	0,66	0,77
SL1344_3745	1,05	3,55	0,39	0,54
SL1344_3943	-0,57	6,29	0,14	0,26
SL1344_4248	-2,24	3,84	0,02	0,05
SL1344_P2_0003	1,45	8,12	0,00	0,00
SL1344_P2_0008	2,12	4,97	0,00	0,01
STsORF132	5,11	7,54	0,00	0,00
SL1344_0329	-0,20	3,44	0,83	0,90
SL1344_0445	-0,49	10,51	0,06	0,13
SL1344_1186	0,84	6,80	0,04	0,10
SL1344_2312	6,05	7,70	0,00	0,00
SL1344_2836	1,12	5,65	0,06	0,14
SL1344_3001	1,78	7,55	0,00	0,01
SL1344_3296	0,52	4,92	0,42	0,57
SL1344_3335	1,19	4,49	0,15	0,27
SL1344_3538	-0,75	4,63	0,43	0,57
SL1344_4109	-1,11	11,75	0,00	0,00
SL1344_4129	-0,14	5,31	0,78	0,86
SL1344_0361	1,73	5,52	0,00	0,00
SL1344_1235	-2,71	4,35	0,00	0,01
SL1344_1558	-0,46	5,83	0,40	0,56
SL1344_2349	-0,78	5,83	0,07	0,16
SL1344_2936	0,89	7,12	0,01	0,03
SL1344_3086	-0,75	5,89	0,10	0,20
SL1344_3483	0,82	7,97	0,03	0,08
SL1344_3707	-0,97	8,24	0,00	0,00
SL1344_4322	2,15	3,75	0,14	0,26
STsORF108	3,94	5,19	0,00	0,00
SL1344_1227	0,99	6,12	0,04	0,09
SL1344_1710	4,25	4,99	0,00	0,00
SL1344_3403	-0,74	10,63	0,00	0,01
SL1344_0677	-2,04	5,31	0,00	0,01
SL1344_0725	-0,53	6,54	0,15	0,27
SL1344_1023	1,97	4,05	0,03	0,08
SL1344_1998	-1,76	3,51	0,12	0,23
SL1344_2130	2,19	3,58	0,07	0,15
SL1344_2586	0,77	3,24	0,49	0,62
SL1344_3870	0,16	5,47	0,71	0,81
SL1344_4199	-3,13	7,03	0,00	0,00
SL1344_P2_0004	1,77	7,48	0,00	0,00
SL1344_0155	-3,15	3,47	0,02	0,05
SL1344_0386	-1,84	6,63	0,00	0,00
SL1344_0919	-0,16	8,11	0,54	0,67
SL1344_1415	6,84	8,98	0,00	0,00
SL1344_1479	1,42	5,57	0,04	0,09
SL1344_2201	-1,01	8,73	0,05	0,13
SL1344_2359	-0,35	6,96	0,38	0,53
SL1344_2599	0,55	3,05	0,71	0,81
SL1344_2733	0,10	5,26	0,93	0,96
SL1344_4380	-0,53	5,97	0,44	0,59
SL1344_P2_0053	-0,90	11,72	0,00	0,00
SL1344_P3_0011	1,74	7,83	0,00	0,00
SL1344_P1_0104	-0,73	5,49	0,21	0,35
STsORF125	-0,70	7,73	0,03	0,08
SL1344_1768	2,15	8,44	0,00	0,00
SL1344_3125	2,15	5,32	0,00	0,00
SL1344_3278	0,44	5,71	0,66	0,77
SL1344_3293	0,54	7,34	0,07	0,14
SL1344_3416	-0,14	6,03	0,78	0,86
SL1344_3618	1,51	7,60	0,00	0,00
SL1344_3749	1,65	4,67	0,08	0,18
SL1344_4250	-3,40	5,74	0,00	0,00
SL1344_4459	0,14	7,04	0,81	0,88
SL1344_P2_0103	-0,07	6,44	0,90	0,94
STsORF30	-0,81	6,28	0,08	0,17
SL1344_0083	4,41	9,36	0,00	0,00
SL1344_0849	-1,06	3,86	0,27	0,42
SL1344_0956	-1,70	7,19	0,00	0,00
SL1344_1260	-0,13	4,79	0,86	0,92
SL1344_1816	0,17	8,82	0,60	0,73
SL1344_2658	-1,78	5,77	0,02	0,05
SL1344_2732	-1,72	5,83	0,00	0,00
SL1344_2884	2,08	8,09	0,00	0,00
SL1344_3077	-1,82	5,41	0,01	0,02
SL1344_3394	-0,94	10,66	0,00	0,00
SL1344_3614	0,40	5,62	0,41	0,56
SL1344_3761	-1,21	5,49	0,02	0,05
SL1344_3980	1,79	6,16	0,07	0,16
SL1344_P1_0078	0,43	7,06	0,37	0,52
SL1344_1109	-6,00	5,46	0,00	0,00
SL1344_3270	-1,61	7,50	0,00	0,00
SL1344_3280	-1,61	5,73	0,00	0,01
SL1344_3739	0,73	3,38	0,50	0,64
SL1344_4028	4,03	6,84	0,00	0,00
SL1344_4253	0,12	6,06	0,79	0,87
SL1344_4266	0,47	9,67	0,06	0,14
SL1344_P1_0013	2,24	3,59	0,10	0,20
STsORF66	1,82	6,54	0,00	0,00
SL1344_1669	-1,11	5,98	0,02	0,05
SL1344_2705	2,24	3,17	0,08	0,17
SL1344_2916	1,49	4,41	0,03	0,08
SL1344_3281	-0,57	6,76	0,08	0,17
SL1344_3358	-1,86	8,31	0,00	0,00
SL1344_P2_0054A	0,20	14,05	0,51	0,64
SL1344_P1_0082	0,50	5,54	0,51	0,65
STsORF59	1,36	6,94	0,00	0,00
SL1344_1464	2,08	4,25	0,01	0,04
SL1344_1630	1,94	6,36	0,00	0,00
SL1344_1922	-0,66	4,80	0,67	0,78
SL1344_2753	-4,68	3,82	0,08	0,17
SL1344_3064	-1,96	4,75	0,01	0,02
SL1344_3169	-1,20	5,01	0,08	0,17
SL1344_3203	-1,75	6,17	0,00	0,00
SL1344_0002	-0,98	8,61	0,00	0,00
SL1344_0003	2,22	8,95	0,00	0,00
SL1344_0004	2,11	9,49	0,00	0,00
SL1344_0005	1,21	6,39	0,00	0,01
SL1344_0006	1,92	7,47	0,00	0,00
SL1344_0007	-0,98	9,19	0,00	0,00
SL1344_0008	-1,59	6,14	0,00	0,00
SL1344_0009	-3,33	4,67	0,00	0,01
SL1344_0011	-5,03	3,32	0,06	0,14
SL1344_0012	0,17	8,81	0,51	0,64
SL1344_0013	0,21	6,43	0,55	0,68
SL1344_0014	0,05	3,85	0,96	0,98
SL1344_0016	-3,77	3,70	0,24	0,38
SL1344_0018	-0,10	7,17	0,86	0,92
SL1344_0019	-2,35	5,71	0,01	0,04
SL1344_0020	0,71	3,45	0,71	0,81
SL1344_0021	-3,95	3,59	0,18	0,31
SL1344_0023	-0,62	4,09	0,61	0,73
SL1344_0024	-1,25	3,49	0,45	0,59
SL1344_0028	0,31	4,76	0,70	0,80
SL1344_0029	0,31	4,14	0,69	0,80
SL1344_0031	0,74	3,44	0,61	0,73
SL1344_0033	0,44	4,71	0,60	0,72
SL1344_0034	-1,56	5,09	0,11	0,21
SL1344_0036	-0,44	5,51	0,68	0,79
SL1344_0037	0,29	4,72	0,72	0,81
SL1344_0038	-1,36	4,23	0,35	0,51
SL1344_0039	-0,13	5,55	0,86	0,92
SL1344_0040	-0,72	8,83	0,01	0,03
SL1344_0041	-1,83	7,88	0,00	0,00
SL1344_0042	0,75	4,49	0,41	0,56
SL1344_0046	-0,46	7,80	0,08	0,16
SL1344_0047	-0,24	9,84	0,26	0,41
SL1344_0048	0,26	7,76	0,35	0,50
SL1344_0049	-0,59	5,84	0,26	0,41
SL1344_0050	-0,26	7,59	0,41	0,56
SL1344_0051	-1,83	5,65	0,00	0,02
SL1344_0052	-0,56	5,84	0,28	0,43
SL1344_0053	2,39	3,89	0,01	0,03
SL1344_0054	2,81	4,71	0,00	0,00
SL1344_0059	-2,73	3,58	0,40	0,56
SL1344_0061	-2,81	3,40	0,40	0,55
SL1344_0062	1,79	4,13	0,19	0,32
SL1344_0063	0,20	3,49	0,92	0,95
