locus tag	logFC	logCPM	PValue	FDR
STsORF61	-0,08	3,11	0,96	0,98
STsORF244	-1,54	4,46	0,11	0,22
STsORF221	-1,03	3,89	0,41	0,56
STsORF52	1,08	4,18	0,09	0,19
STsORF73	7,12	10,48	0,00	0,00
STsORF177	0,87	3,23	0,42	0,57
STsORF80	-0,63	10,65	0,51	0,64
STsORF222	-1,70	5,64	0,21	0,34
STsORF157	0,71	3,71	0,51	0,64
STsORF160	-0,56	6,07	0,31	0,46
STsORF166	-2,79	3,62	0,41	0,56
STsORF199	0,44	3,30	0,68	0,79
STsORF232	-3,37	2,77	0,29	0,44
STsORF4	0,81	4,77	0,50	0,64
STsORF24	0,06	2,96	0,96	0,98
STsORF36	0,00	5,62	0,99	1,00
STsORF62	2,11	4,15	0,09	0,18
STsORF84	-0,92	3,29	0,39	0,54
STsORF129	-1,50	7,62	0,00	0,00
STsORF178	3,19	4,34	0,05	0,12
STsORF204	0,75	4,04	0,31	0,46
STsORF214	8,38	5,02	0,00	0,00
STsORF246	1,99	5,96	0,01	0,02
STsORF47	-0,27	4,33	0,75	0,84
STsORF139	3,48	3,87	0,14	0,25
STsORF229	-2,63	5,34	0,00	0,00
STsORF241	1,75	7,49	0,00	0,00
STsORF247	-1,07	6,45	0,00	0,01
STsORF15	0,19	3,93	0,92	0,95
STsORF64	1,91	5,90	0,00	0,00
STsORF128	-0,80	3,51	0,52	0,65
STsORF208	-0,27	3,67	0,81	0,89
STsORF126	-2,11	3,99	0,12	0,23
STsORF141	-0,88	4,53	0,15	0,27
STsORF176	-0,76	3,28	0,46	0,60
STsORF195	-0,06	3,67	0,96	0,98
STsORF77	0,23	4,68	0,71	0,81
STsORF95	-0,41	4,55	0,80	0,88
STsORF167	-0,45	3,78	0,65	0,77
STsORF196	-1,88	4,87	0,01	0,03
SL1344_2548	2,66	2,96	0,03	0,08
STsORF144	1,18	3,66	0,44	0,59
STsORF225	3,09	2,79	0,07	0,15
STsORF56	4,44	3,60	0,05	0,11
STsORF183	1,68	3,69	0,17	0,30
STsORF53	1,07	4,40	0,06	0,14
STsORF117	0,91	4,78	0,19	0,32
STsORF120	1,98	6,26	0,00	0,00
STsORF122	5,48	2,36	0,01	0,03
STsORF18	0,32	4,65	0,66	0,77
STsORF41	-1,09	4,09	0,18	0,31
STsORF68	6,18	9,51	0,00	0,00
STsORF94	0,78	4,19	0,68	0,78
STsORF233	-1,10	10,31	0,00	0,00
SL1344_P1_0100	-0,89	7,47	0,01	0,02
STsORF23	-2,01	4,40	0,52	0,66
STsORF48	0,71	6,58	0,04	0,11
STsORF124	-1,71	5,34	0,07	0,15
STsORF150	-2,01	4,47	0,01	0,04
STsORF203	1,69	5,41	0,00	0,01
STsORF224	-0,17	4,17	0,85	0,91
STsORF228	-0,89	4,76	0,15	0,28
STsORF16	2,39	3,56	0,03	0,08
