GeneID;Locus_tag;Strand;Start;End;EL (Biological replicate 1);EL (Biological replicate 2);EL (Biological replicate 3);ML (Biological replicate 1);ML (Biological replicate 2);ML (Biological replicate 3);SP (Biological replicate 1);SP (Biological replicate 2);SP (Biological replicate 3);EL_TEX (Biological replicate 1);EL_TEX (Biological replicate 2);EL_TEX(Biological replicate 3);ML_TEX (Biological replicate 1);ML_TEX (Biological replicate 2);ML_TEX (Biological replicate 3);SP_TEX (Biological replicate 1);SP_TEX (Biological replicate 2);SP_TEX (Biological replicate 3)
1075101;BT_0023;-;19601;19966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;344208296;0;337577445
1075095;BT_0024;-;19976;20512;0;0;0;0;0;0;214028998;0;0;0;0;0;201096692;0;637419323;234600068;0;230080716
1075098;BT_0025;-;20537;20674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;826797528;0;0;19398472
1075533;BT_0026;-;20936;21358;0;0;0;0;0;282164874;271710572;0;0;0;0;0;0;38699262;0;297825618;0;0
1075108;BT_0027;-;21544;22080;122661213;368728643;0;0;0;111131975;214028998;233607954;0;0;0;0;201096692;203225175;0;938400271;2508729454;1610565015
1075102;BT_0028;+;22552;22830;472179722;473135678;0;0;1043107315;427798357;0;0;0;419996826;0;139432639;0;0;817907232;0;508276822;0
1075522;BT_0029;+;22906;26169;1473174694;1132394581;745321805;1218311902;1604927983;877615747;281699931;192168307;318076904;682108815;673521011;715104895;496272626;969615701;1048695393;656147065;304125194;605653651
1075071;BT_0030;+;26182;28011;1007832784;721338;1139452164;140192845;1590311152;1043547467;6280523;137101061;21274652;576290726;505809049;1062888149;885155109;1133063638;685835326;642522153;232474153;337577445
1075058;BT_0031;+;28131;29195;989582291;867637538;761417956;156581586;1093058933;1120711188;32375654;0;487419256;880218699;97777876;365274237;50699025;717298997;964208948;354873905;665771049;348037591
1075079;BT_0032;+;29209;29406;1330688308;0;0;647860875;1469833035;602806775;580472585;0;0;0;0;0;0;0;576252822;0;1432416499;624006792
1075080;BT_0033;+;29680;29970;0;907249856;796180779;0;200018516;410157187;0;0;445963495;0;1192822886;891218929;111328787;375023776;784179098;432921775;0;0
